#{"t_start": 1782753143.1900272, "env_id": "LunarLander-v3"}
r,l,t
-121.573161,63,0.015806
-116.197137,81,0.063319
-204.330946,96,0.126591
19.189278,78,0.174003
-123.970568,108,0.252838
-69.157054,75,0.316271
11.361105,88,0.379425
-231.055423,119,0.458544
-111.114284,95,0.521737
-92.388167,83,0.590372
-372.907856,102,0.648405
-273.514805,90,0.727426
-131.991473,122,0.806424
-365.393024,105,0.890981
-74.938292,65,0.932958
-269.726728,93,0.99594
-132.524482,84,1.058941
-147.221967,103,1.137683
-249.361319,94,1.200817
30.858885,83,1.264073
-64.245972,68,1.311401
-228.472376,83,1.374531
-119.193378,74,1.421925
-123.451687,80,1.485152
-31.923597,125,1.564214
-275.104829,103,1.643239
-106.706069,87,1.706412
-77.04233,70,1.753685
-147.749041,63,1.801101
-83.825339,62,1.848543
-233.342125,81,1.911826
-119.008307,73,1.959343
-79.622067,59,2.006654
-203.982614,73,2.054081
-136.174314,84,2.117222
-279.496472,110,2.19637
-280.354742,94,2.259623
-309.350027,83,2.323277
-279.351761,83,2.386598
-424.663633,100,2.449671
-111.872734,85,2.512894
-129.198443,86,2.576112
-79.947164,80,2.639274
-306.524247,101,2.702525
-249.513008,99,2.781548
-334.065637,138,2.876603
-115.834088,57,2.923945
-253.731464,93,2.994844
-90.907272,95,3.066097
-261.453652,79,3.113496
-253.765741,112,3.195265
-309.300687,86,3.255822
-121.625907,77,3.318852
-78.209952,121,3.413523
-131.012038,136,3.508482
-149.164974,87,3.571789
-129.265372,99,3.65126
-121.611053,114,3.729939
-253.643857,88,3.809235
-98.936572,65,3.856728
-401.035218,79,3.919837
-218.183116,76,3.967214
-370.111797,88,4.030352
-263.261893,84,4.096842
-134.760673,149,4.204359
-181.728813,95,4.283369
-324.241377,69,4.330886
-354.94807,122,4.425781
-158.658116,88,4.488982
-274.671059,95,4.552293
-360.003652,106,4.631694
-10.04606,102,4.710803
-101.935192,76,4.758267
-218.264384,114,4.853306
-238.25682,96,4.916579
-127.924346,67,4.964015
-96.897438,114,5.043116
-137.22946,80,5.106428
-152.829103,84,5.169631
-355.110829,98,5.248655
-295.921599,102,5.311912
-161.031572,78,5.375151
-172.755874,94,5.438466
-201.045528,83,5.501926
-62.258034,64,5.549296
-371.102086,79,5.61261
-197.497428,129,5.707559
-82.527788,70,5.754931
-88.15789,70,5.802251
-190.332432,64,5.849725
-142.683184,72,5.912979
-104.49935,113,5.991991
-63.414504,110,6.071038
-173.800675,84,6.13369
-10.124114,142,6.24441
-231.541857,115,6.323382
-112.175356,96,6.386735
-172.297553,69,6.450276
-314.151275,96,6.513505
-428.667773,94,6.576742
-209.898687,98,6.655859
-177.585747,82,6.703259
-328.963228,97,6.782362
-395.157948,108,6.84569
-107.754962,59,6.903408
-88.33193,82,6.956359
-393.595902,99,7.019463
-179.384345,107,7.103734
-254.461675,76,7.161775
-74.88078,87,7.225141
-191.83692,80,8.648264
-114.521969,71,8.695704
-87.967318,110,8.774781
-155.466203,81,8.822148
-361.196744,82,8.885368
-99.770638,84,8.948624
-276.462582,110,9.027667
-390.705066,96,9.091051
-26.511659,126,9.186464
-134.992927,73,9.233877
-302.945082,128,9.328895
-84.339961,68,9.376361
-324.700545,76,9.439895
-108.296367,108,9.518943
-137.517146,82,9.56635
-92.264015,70,9.629613
-113.074498,86,9.692925
-48.871967,75,9.740619
-117.694692,115,9.835371
-115.672458,85,9.882729
-123.375396,76,9.946057
-20.161461,106,10.025467
10.925673,73,10.072883
-345.425118,115,10.151894
-322.941319,108,10.231068
-381.458682,95,10.294323
-370.426588,91,10.373816
-226.34265,76,10.421242
-79.659948,82,10.48459
-373.459538,97,10.547844
-116.813285,81,10.611066
-237.12934,133,10.711168
-373.18759,124,10.785057
-150.499827,71,10.848362
-149.751533,84,10.911477
-178.602734,105,10.974743
-113.41652,83,11.038013
-157.216273,80,11.101209
-332.893986,125,11.180195
-203.585353,78,11.243418
-321.144702,100,11.322488
-83.653576,70,11.36987
-92.617886,65,11.417336
-113.098895,86,11.480527
-180.674533,108,11.559616
-181.580941,63,11.591212
-335.589635,122,11.685997
-142.303575,70,11.733575
-80.667461,76,11.796809
-96.037742,77,11.844162
-278.450267,111,11.923279
-94.239724,65,11.970609
-114.266446,82,12.033885
-147.383252,133,12.128747
-225.093604,134,12.223643
-132.876673,69,12.286874
-99.444077,89,12.350097
-89.103156,123,12.429122
-94.677419,68,12.476589
-215.380807,112,12.555618
-293.861829,93,12.63469
-126.555076,77,12.682181
-114.914693,86,12.745486
-124.421106,88,12.814365
-60.552864,68,12.856096
-105.915251,73,12.919381
-193.987199,81,12.982636
-131.894615,120,13.0621
-92.550373,66,13.115166
-41.894644,111,13.188664
-167.496684,107,13.267668
-117.368988,117,13.346779
-101.823874,92,13.425866
-98.668011,105,13.504902
-83.519313,119,13.584023
-90.839913,75,13.647271
-337.259771,113,13.726518
