#{"t_start": 1782736675.3228452, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.030669
-131.249228,91,0.084929
-207.867674,68,0.137953
-28.939202,100,0.1801
-165.300501,102,0.263871
-402.625129,96,0.313448
-157.741211,85,0.364365
-229.135721,81,0.413695
-119.822411,103,0.463698
-428.380855,88,0.511476
-278.337247,92,0.564643
-163.408793,98,0.63055
-264.038447,112,0.680631
-111.45651,110,0.74778
-93.979865,82,0.797215
-78.390703,88,0.846543
-73.342262,56,0.880106
-294.732723,95,0.953746
-59.130553,60,0.980725
-105.072797,65,1.013616
-288.962165,103,1.094772
-118.153293,72,1.132599
-66.313109,65,1.18006
-172.401419,150,1.281788
-1.419161,107,1.369042
-173.973144,79,1.411268
-121.756958,90,1.472828
-3.825993,100,1.533115
-155.015024,112,1.598235
-187.335672,68,1.651533
-172.662512,73,1.681612
-201.475959,67,1.71351
-315.97914,134,1.796857
-145.724996,98,1.86326
-63.513756,65,1.880274
-122.019734,126,1.976585
-177.696258,114,2.063409
-161.572967,120,2.130194
31.409913,122,2.219213
-266.775277,105,2.28263
-68.550506,66,2.330225
-229.609997,117,2.400344
-112.701226,92,2.454505
-161.136226,67,2.499953
-109.21568,70,2.530009
-556.57847,105,2.57998
10.423108,100,2.646886
-108.250361,77,2.69829
-316.839704,70,2.746282
-82.163484,71,2.796671
9.913331,86,2.849547
-116.626914,109,2.931637
-120.194478,131,3.003648
-125.031591,73,3.044502
-415.920971,76,3.098054
-228.463406,83,3.132547
-243.17782,79,3.194744
-130.208549,118,3.28176
-268.447662,93,3.313803
-78.473882,120,3.379648
-45.595301,62,3.413857
-85.938472,97,3.48163
-85.336915,68,3.513735
-90.172817,70,3.547051
-45.32616,95,3.61349
-370.021123,109,3.680371
-387.268558,113,3.763572
-157.251001,64,3.813494
-55.253498,70,3.863773
-152.121771,85,3.896666
-99.997699,89,3.948915
-145.323094,69,3.980669
-119.673326,93,4.030182
-83.430694,96,4.100238
-83.046625,74,4.130387
-180.712115,72,4.167531
-379.160243,120,4.241458
-175.909139,100,4.307019
-153.949976,128,4.362239
-379.470378,131,4.447884
-62.995706,60,4.481165
-413.078201,105,4.534679
-148.197397,69,4.565023
-107.108437,70,4.597291
-38.930785,109,4.667884
-185.430741,111,4.730037
-99.267015,62,4.763434
-280.716246,80,4.833394
-187.213089,69,4.865301
-294.772013,100,4.949741
-255.459834,114,5.016147
