#{"t_start": 1782748711.8212585, "env_id": "LunarLander-v3"}
r,l,t
-121.573161,63,0.016142
-116.197137,81,0.0696
-204.330946,96,0.161641
19.189278,78,0.226454
-123.970568,108,0.323831
-69.157054,75,0.386516
11.361105,88,0.473348
-231.055423,119,0.596582
-111.114284,95,0.695646
-92.388167,83,0.781411
-372.907856,102,0.887226
-273.514805,90,0.982373
-131.991473,122,1.062788
-365.393024,105,1.173308
-74.938292,65,1.220414
-269.726728,93,1.334107
-132.524482,84,1.42171
-147.221967,103,1.525057
-249.361319,94,1.615216
30.858885,83,1.700684
-64.245972,68,1.76741
-228.472376,83,1.852899
-119.193378,74,1.92722
-123.451687,80,1.997286
-31.923597,125,2.122071
-275.104829,103,2.221191
-106.706069,87,2.31124
-77.04233,70,2.380669
-147.749041,63,2.443855
-83.825339,62,2.50508
-233.342125,81,2.592495
-119.008307,73,2.661666
-79.622067,59,2.724051
-203.982614,73,2.802749
-136.174314,84,2.872473
-279.496472,110,2.962185
-280.354742,94,3.057751
-309.350027,83,3.136416
-279.351761,83,3.234147
-424.663633,100,3.335486
-111.872734,85,3.424262
-129.198443,86,3.505635
-79.947164,80,3.600256
-306.524247,101,3.695388
-249.513008,99,3.80672
-329.065792,136,3.950286
-126.611211,74,4.013323
-170.891158,128,4.163419
-266.951852,95,4.235988
-91.725401,62,4.276512
-46.078228,62,4.320711
-406.927284,88,4.394328
-135.336545,89,4.489918
-72.441647,82,4.589344
-306.572123,78,4.668417
-118.775326,103,4.759283
-210.695709,107,4.858993
-68.265195,106,4.972481
-74.762909,129,5.105841
-543.224346,90,5.201233
-352.179082,92,5.297668
-99.960561,82,5.382539
-317.799114,106,5.501182
-125.65821,128,5.631125
-103.231222,134,5.776751
-191.851853,106,5.884949
-84.999523,101,5.980241
-120.525695,109,6.109231
-349.171317,118,6.240887
-287.395441,132,6.382161
-414.926555,87,6.483346
-176.795245,82,6.565389
-83.505202,70,6.643635
-231.983938,82,6.72893
-62.354097,123,6.857532
-141.472637,110,6.973495
-73.12464,68,7.038007
-255.189116,98,7.146986
-164.535916,104,7.258473
-73.84257,82,7.348563
-124.57543,80,7.433262
-105.875761,68,7.479178
-108.738115,64,7.521686
-142.861008,94,7.563496
-97.040054,66,7.611484
-86.083967,130,7.696194
-108.672324,116,7.769907
-195.616072,90,7.81741
-118.539085,97,7.930743
-101.516601,119,8.061363
-136.900194,108,8.165418
-93.537659,69,8.251415
-106.374591,101,8.359741
-105.41832,100,8.46693
-189.424714,86,8.546536
-148.862217,92,8.654254
-92.001526,76,8.735233
-303.215188,84,8.816505
-81.552143,71,8.904643
-150.384186,87,9.000303
-135.524523,114,9.11719
-114.829673,62,9.190524
-91.682631,89,9.281391
-177.462113,108,9.4008
-93.684061,95,9.497016
-270.892264,103,9.613393
-105.143833,75,9.688145
-359.045744,128,9.837378
-86.479085,75,11.05029
-165.103035,71,11.117529
-173.55552,72,11.201406
-80.488122,75,11.282664
-127.442314,61,11.349221
-240.871174,85,11.440604
-111.275899,67,11.509613
-116.984971,82,11.589207
-82.753704,63,11.668839
-390.705066,96,11.763677
-26.511659,126,11.897322
-134.992927,73,11.970978
-302.945082,128,12.113386
-84.339961,68,12.177639
-324.700545,76,12.274754
-108.296367,108,12.384604
-137.517146,82,12.467079
-92.264015,70,12.543296
-113.074498,86,12.591368
-48.871967,75,12.677981
-117.694692,115,12.795193
-115.672458,85,12.876932
-123.375396,76,12.966061
-20.161461,106,13.082275
11.192763,73,13.145758
-345.425118,115,13.276524
-322.941319,108,13.384165
-381.458682,95,13.479598
-370.426588,91,13.577237
-226.34265,76,13.671098
-79.659948,82,13.750261
-373.459538,97,13.859772
-116.813285,81,13.94547
-237.12934,133,14.047173
-373.18759,124,14.167899
-150.499827,71,14.239619
-149.751533,84,14.335095
-158.271372,104,14.447894
-93.935079,75,14.534401
-85.299137,85,14.634811
-155.197628,94,14.732204
-98.818193,82,14.827036
-81.47439,63,14.89099
-103.98894,69,14.968787
-242.724196,79,15.053504
-398.267348,114,15.169014
-117.989031,96,15.278326
-237.098327,104,15.380616
-299.50122,108,15.509091
-52.697501,68,15.570742
-96.74216,71,15.650066
-185.476991,86,15.745229
-114.617431,124,15.872915
-47.54,77,15.952756
-91.905694,80,16.046694
-226.300156,91,16.144037
-340.298663,93,16.20805
-335.386816,132,16.351533
-282.374839,97,16.462927
-113.035357,103,16.580153
-205.36638,91,16.678819
-135.144407,81,16.76197
-8.674417,103,16.868546
-132.592096,93,16.963361
-244.227345,106,17.075419
-240.471432,78,17.155065
-111.505193,66,17.218717
-476.051132,94,17.329842
-142.115835,92,17.425659
