#{"t_start": 1782297113.2836714, "env_id": "LunarLander-v3"}
r,l,t
-119.128512,77,0.003077
-206.109051,64,0.036638
-165.004123,76,0.084925
-71.649064,73,0.124166
-392.807358,119,0.192982
-115.846748,85,0.256357
-103.642619,115,0.322024
-256.461155,124,0.386533
-241.726773,96,0.436332
-9.537237,115,0.518442
-123.84607,114,0.589249
-354.738413,126,0.669104
-279.590148,108,0.743834
-123.163015,109,0.800382
-203.064005,85,0.861056
-170.8946,67,0.902993
-100.163942,71,0.957057
-94.324063,76,0.986789
-181.472494,85,1.019805
-68.643866,113,1.069806
-379.744611,115,1.157253
-84.8719,145,1.233493
-144.115143,82,1.271775
-138.76297,88,1.317087
-188.893214,131,1.401692
-229.304027,73,1.434943
-98.107282,98,1.503469
-28.338494,131,1.557894
-68.217853,113,1.619766
-160.950964,79,1.672198
-98.858926,69,1.725544
-80.99521,85,1.773508
-291.883694,136,1.872963
-200.497888,98,1.920122
-97.983743,72,1.958612
-185.659451,99,2.001128
-90.413561,63,2.039438
-317.110488,108,2.0898
-148.668637,103,2.152386
-220.0567,86,2.207454
-68.943096,149,2.298892
-248.075658,84,2.338404
-138.790931,104,2.40678
-392.319538,130,2.475747
-40.765912,127,2.565229
-496.340765,107,2.606606
-95.185385,104,2.685262
-95.153079,74,2.72212
-121.118346,121,2.785991
-120.669916,91,2.836431
-322.455016,102,2.909958
-132.898728,73,2.936432
-118.874358,71,2.999395
-158.32689,86,3.061574
-196.125098,109,3.102185
-125.832406,73,3.119908
-92.414996,69,3.159647
-155.307766,128,3.239826
-102.863395,88,3.290896
-146.134624,114,3.360227
-212.459775,108,3.418962
-53.503064,69,3.439509
-117.845267,81,3.50132
-112.983724,81,3.553272
-112.6689,92,3.619792
-134.772547,75,3.666753
-146.008716,93,3.707818
-81.934139,70,3.741395
-111.691662,111,3.804021
-232.486765,92,3.86264
-57.830006,69,3.916432
-347.863685,117,3.973121
-92.768405,78,4.034703
-394.934808,113,4.08982
-102.063079,120,4.183756
-209.375375,73,4.215831
-204.922064,107,4.26315
-121.965286,83,4.300699
-121.016281,69,4.328391
-175.944628,98,4.365015
-113.739534,117,4.442836
-70.624613,118,4.503172
-294.776251,117,4.585038
-278.577917,57,4.606652
-77.471902,112,4.661474
-141.840911,92,4.706439
-162.579726,96,4.775379
-79.771579,60,4.801196
-240.05871,72,4.82821
-230.110899,145,4.891016
-191.064278,118,4.961681
-294.762211,94,5.023001
-208.798089,65,5.038884
-140.271816,71,5.080515
-139.483885,120,5.168553
-118.431914,122,5.222904
-196.454984,86,5.295293
-208.984158,93,5.321776
-352.971898,136,5.413466
-126.59194,123,5.501307
-370.473301,141,5.577598
-135.735784,124,5.630831
-92.962101,138,6.430792
-150.539466,132,6.488932
-122.552915,79,6.535017
-210.507437,129,6.617717
-2.150265,98,6.677748
-104.507542,95,6.749506
-120.208413,72,6.787551
-143.305238,133,6.846783
-62.754185,70,6.889985
-284.983013,83,6.935804
-212.863585,102,6.999007
-135.136544,98,7.058919
-146.796044,107,7.119776
-203.529412,75,7.169078
-124.078573,60,7.212903
-46.598634,87,7.269459
-125.187314,70,7.305609
-113.051891,81,7.340123
-188.849249,85,7.369586
-92.203985,102,7.422253
28.699259,74,7.483563
-99.60925,119,7.538785
-59.968574,85,7.613753
-224.177286,120,7.672235
-161.125485,95,7.709208
-240.254608,119,7.764415
-86.605541,104,7.803097
-192.339103,110,7.895576
-123.541869,104,7.933056
5.979332,69,7.95545
-203.637975,124,8.012826
-30.034752,132,8.069766
-95.039895,88,8.103034
-63.91323,65,8.139845
-144.933978,73,8.196752
-187.945864,104,8.255147
-453.675717,129,8.303074
-56.839537,107,8.339476
-125.93777,97,8.386939
-91.430943,101,8.465417
-258.844581,90,8.501408
-127.725026,97,8.569698
-265.937193,95,8.622523
-155.66182,90,8.656466
-123.924017,116,8.738705
-80.967041,78,8.772748
-317.086532,83,8.814244
-110.593788,86,8.84621
-162.690052,64,8.873294
-120.869592,116,8.920089
-126.621924,100,8.959853
26.879749,70,9.003031
-88.566877,91,9.062375
-144.663308,101,9.109006
-70.721232,108,9.151227
-130.480545,82,9.190005
-93.999157,130,9.281522
-118.89404,80,9.314422
28.185772,154,9.367734
25.929386,1000,10.011978
-50.838487,110,10.055613
-97.023035,83,10.087404
-136.341337,96,10.119202
-132.74207,64,10.139982
-115.014391,88,10.185766
-144.635044,62,10.209052
-225.111852,102,10.283888
-13.931871,81,10.319432
-41.695959,79,10.366303
-161.819319,98,10.437399
-72.211642,63,10.469756
-73.193652,76,10.537491
-327.802874,108,10.581553
-159.501434,109,10.623779
-458.931596,90,10.672161
-46.622625,65,10.729161
-350.477996,103,10.768447
-128.633281,98,10.809411
-94.560169,137,10.868157
-100.807007,100,10.943017
-95.852444,70,10.976388
-121.412971,77,11.006097
-179.697759,83,11.064569
-102.889586,73,11.106211
-100.466151,96,11.153374
-70.325653,108,11.223315
-418.960501,99,11.286241
-163.830211,100,11.346466
-99.924735,121,11.394007
-75.046832,83,11.457054
-130.732204,116,11.519576
-357.705033,137,11.60139
-108.621001,87,11.639258
-103.808577,108,11.719836
