#{"t_start": 1782232950.8171306, "env_id": "LunarLander-v3"}
r,l,t
-121.573161,63,0.019228
-116.197137,81,0.051498
-204.330946,96,0.108776
19.189278,78,0.156335
-123.970568,108,0.209101
-69.157054,75,0.258412
-172.396036,70,0.308309
-170.580394,122,0.375097
-381.973466,99,0.440679
-71.210696,73,0.474811
-108.249739,104,0.542758
-428.503642,93,0.59157
-140.351568,97,0.659391
11.656733,110,0.725083
-130.589968,96,0.775346
-334.036239,88,0.824608
-128.111151,61,0.876343
-57.681104,78,0.922066
-343.553589,100,0.982675
-229.518386,131,1.063908
-115.339714,110,1.124833
-56.419879,127,1.208858
-121.666619,83,1.258431
-154.782508,70,1.292119
-80.984259,68,1.342174
-124.587896,105,1.40845
-91.134774,118,1.474977
-114.635253,67,1.524092
-89.24925,78,1.558355
-304.944051,77,1.608504
-332.804963,96,1.675111
-173.557742,104,1.724887
-169.561912,79,1.775122
-121.405557,67,1.824246
-160.582884,151,1.914263
-114.431219,68,1.956101
-86.955175,88,2.00838
-109.279024,86,2.060759
-343.808936,79,2.108121
-86.876881,103,2.159926
-215.592056,75,2.209379
-422.753446,139,2.293057
-151.284524,110,2.358403
-109.995824,81,2.409936
-237.733236,99,2.473858
-119.534128,103,2.536436
-314.132003,116,2.607169
-95.733365,72,2.658113
-218.700523,127,2.706549
-208.035314,91,2.775097
-160.75135,89,2.823229
-236.909984,97,2.875878
-256.290427,113,2.94024
-299.895336,122,3.002381
-202.703904,73,3.046984
-147.246559,75,3.102331
-111.188454,148,3.166962
-484.939269,93,3.228166
-102.021992,74,3.268662
-371.672815,127,3.306499
-384.33114,98,3.339806
-238.291613,105,3.393545
-229.798823,96,3.4234
-191.979813,109,3.501519
-85.547671,93,3.564317
-84.256409,65,3.606465
-41.655564,112,3.674894
-140.170881,115,3.729093
-123.816877,97,3.786793
-113.328825,74,3.825617
-303.835012,128,3.911992
-165.77005,110,3.957117
-138.410858,100,4.041567
-99.523191,69,4.07843
-23.564137,132,4.156523
-140.575376,132,4.246287
-484.85865,113,4.32479
-315.167869,113,4.400138
-258.444085,87,4.450035
-321.341401,128,4.506442
-156.369997,123,4.575768
-80.566017,108,4.642875
-8.057183,139,4.696891
-124.717575,133,4.784348
-114.380517,76,4.812813
-61.144663,109,4.88132
-112.830804,79,4.929652
-263.006829,98,4.974875
-51.142174,124,5.028296
-187.493575,71,5.079405
-155.383092,110,5.122852
-237.468104,87,5.187377
-105.500934,90,5.241882
-72.875242,73,5.282376
-114.26991,88,5.343187
-191.59635,104,5.410627
-120.482999,72,5.453916
-11.147078,139,5.550533
-176.542914,84,5.587585
-93.15964,57,5.61333
-175.794649,98,5.664026
-109.648475,105,5.707618
-390.032237,118,6.301848
-141.822179,61,6.328945
-83.016286,86,6.374288
-105.187432,97,6.42883
-243.61641,121,6.507024
-198.750235,121,6.572215
-123.769343,72,6.6212
-111.738945,90,6.679244
-322.715235,110,6.72647
-97.741202,70,6.771506
-338.044679,106,6.839492
-243.979934,128,6.908196
-278.481449,82,6.969428
-93.477873,83,7.027596
-106.594414,80,7.080773
-141.308243,69,7.111545
-123.653551,58,7.154873
-79.796997,68,7.186917
-117.389622,91,7.230876
-122.632374,74,7.282851
-430.222242,153,7.354586
-73.602734,100,7.394851
-140.811764,99,7.443099
-268.417939,98,7.517389
-259.637409,118,7.564754
-380.092716,110,7.637459
-196.235139,107,7.710696
-323.516022,81,7.769168
-326.967673,130,7.854103
-99.820005,64,7.890507
-230.162604,105,7.94678
-131.305626,59,7.956603
-105.471532,110,8.023055
-36.812929,66,8.056451
-147.909671,89,8.097896
-14.976913,116,8.156517
-75.962884,85,8.22134
-431.126496,115,8.273258
-85.50217,98,8.35234
-109.491338,120,8.410166
-152.260194,121,8.476451
-264.737377,80,8.526475
-183.938158,94,8.557193
-152.055757,118,8.607024
-89.24189,115,8.673216
-183.076849,94,8.725808
-122.566266,65,8.756511
-69.022825,87,8.821839
-335.148548,127,8.888497
-11.069594,83,8.940456
-146.739884,116,9.006675
-156.47466,89,9.042937
-187.598048,72,9.089847
-164.218234,104,9.148674
-189.568766,70,9.189927
-120.630065,98,9.237275
-154.38155,77,9.270467
-261.11321,100,9.306578
-152.353207,98,9.38746
-57.340491,70,9.423444
-210.130546,115,9.494903
-118.803751,62,9.540269
-91.945337,78,9.589949
-258.561767,121,9.656595
-115.808445,143,9.706507
-221.445876,116,9.78986
-89.549865,99,9.856565
-17.194502,91,9.906665
-83.423015,79,9.939762
-123.527129,80,10.008189
-182.073184,95,10.039434
-284.346124,93,10.09316
-87.119726,69,10.139794
-193.105135,104,10.189903
-61.948662,71,10.240226
-87.436153,117,10.310002
-104.560405,80,10.373171
-114.167156,130,10.440136
-270.077191,160,10.539899
-244.727147,76,10.573323
-103.223014,107,10.656115
-110.002626,94,10.690196
-287.542945,98,10.725918
-77.905692,89,10.756791
-110.25882,110,10.806685
-104.734324,77,10.843095
-336.288339,77,10.906937
-105.438039,83,10.942512
-176.04598,74,10.975929
-57.890959,67,11.023135
-131.575707,72,11.080295
-71.833682,120,11.141517
-508.532207,130,11.206633
-53.241407,73,11.259186
-190.739648,79,11.306828
-117.327789,95,11.339788
-160.970916,80,11.375778
-92.596752,73,11.406389
-114.567318,90,11.439463
-100.244464,104,11.4763
-226.516369,120,11.523624
-147.075856,109,11.575935
-363.366715,158,11.674587
-92.038695,150,11.738304
