#{"t_start": 1782305677.487833, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.8851
-131.249228,91,0.945853
-197.510019,67,1.004151
-142.373986,97,1.085043
-92.601177,95,1.182875
-70.578613,63,1.218366
-144.180583,65,1.287773
-152.654407,106,1.3907
-140.849015,130,1.505012
-357.20461,111,1.603862
-319.441936,96,1.701385
-90.649977,76,1.752805
-80.670748,111,1.819759
-112.45339,96,1.869694
-370.372023,111,1.9362
-204.607781,112,2.036733
-75.007703,89,2.119812
-48.995984,80,2.166375
-180.951284,102,2.268931
-194.924919,75,2.320982
-100.345804,59,2.371051
-260.824302,77,2.436457
-191.199749,78,2.487948
-180.234475,143,2.619124
-402.936589,119,2.687075
-95.440329,85,2.737604
-189.601424,85,2.81881
-273.973384,100,2.885014
33.381146,80,2.954774
-79.780862,70,3.017973
-209.695174,75,3.085171
-212.267654,102,3.153504
-52.576102,89,3.235021
-355.761003,135,3.318351
-198.781076,96,3.423773
-121.554499,102,3.520225
-141.616807,120,3.601361
-215.841181,112,3.703224
-327.382902,79,3.769747
-159.449521,83,3.803268
-206.868991,149,3.916996
-183.996217,139,4.019892
-226.791264,82,4.069922
-120.967241,107,4.169707
-177.972062,84,4.260449
-107.08923,113,4.336253
-175.912292,116,4.435163
-114.787743,85,4.486051
-112.258027,102,4.569438
-143.086138,84,4.62096
-267.68987,122,4.726421
-144.992267,76,4.767973
-419.676717,97,4.820335
-39.677714,66,4.88621
-139.882637,68,4.947198
-53.358824,62,4.98494
-97.391701,76,5.053372
-168.909342,76,5.107947
-115.213521,75,5.181531
-363.066098,95,5.276027
-239.013023,111,5.352917
-103.556811,66,5.402822
-450.637845,94,5.467935
-224.472806,112,5.522027
-67.567352,107,5.618312
-110.392802,120,5.719714
-204.774458,109,5.802811
-336.803367,104,5.853015
-38.800534,124,5.969966
-77.668954,66,6.018988
-225.363003,107,6.082539
-13.488324,93,6.136405
-196.429212,108,6.236175
-269.465127,111,6.319735
-175.897637,146,6.437008
-247.365576,81,6.519922
-65.757568,66,6.553431
-137.849559,72,6.602416
-108.614468,60,6.636536
-416.45579,93,6.718542
-93.786486,65,6.774643
-63.264932,78,6.801756
-171.637527,124,6.868658
-85.945321,64,6.934678
-130.232555,97,7.02174
-101.731902,73,7.08507
-102.707123,76,7.135061
-100.775442,86,7.192113
-199.027003,116,7.274447
-99.727131,80,7.336328
-133.172806,126,7.401823
-85.550817,72,7.454666
-75.796507,67,7.501249
-229.370178,85,7.586598
-220.315884,115,7.635165
-173.532171,86,7.724596
-286.56373,78,7.768264
-202.444279,94,7.868286
-325.454628,99,7.951662
-93.823368,122,8.053305
-157.030498,111,8.137636
-313.204248,103,8.204069
-305.177314,95,8.303672
-135.392347,70,8.353275
-232.706247,82,8.41995
-62.325744,86,8.491971
-152.992238,146,8.998096
-95.320094,132,9.12403
-150.879133,118,9.236677
-110.49162,71,9.284644
-73.052407,64,9.337383
-79.78637,122,9.430855
-111.278893,87,9.510064
-91.628621,69,9.569814
-94.956574,83,9.636743
-249.308313,134,9.73635
-33.185144,67,9.804163
-258.93008,105,9.890825
-33.656648,65,9.955152
-115.430355,113,10.033079
-121.948402,83,10.118023
-101.640655,118,10.22081
-250.787536,135,10.331243
-166.41809,66,10.384706
-236.15248,77,10.452344
-142.228936,93,10.520346
-294.72287,86,10.603468
-121.979406,89,10.652902
-78.348185,71,10.715488
-227.645607,147,10.816861
-83.837436,120,10.929536
-344.39314,95,11.029228
-125.058524,128,11.103879
-208.012693,72,11.186286
-139.14584,84,11.250302
32.593158,93,11.332896
-120.068643,60,11.389447
-110.638541,86,11.451298
-157.300355,92,11.537633
-191.596921,111,11.621956
-93.203506,92,11.701378
-251.973537,96,11.77131
-177.211432,76,11.83701
-45.30189,64,11.900577
-54.559372,89,11.995464
-355.482604,96,12.072567
-47.074215,86,12.125961
-408.510792,101,12.228301
-99.758359,64,12.261434
-270.657091,98,12.341768
-101.636391,80,12.423335
-298.086324,96,12.511406
-262.218348,102,12.575251
-70.922197,84,12.640105
-45.683806,93,12.725095
-141.85233,82,12.787097
-58.027233,69,12.818203
-99.301043,75,12.863586
-86.789649,82,12.901355
-421.242321,96,13.002501
-143.155172,67,13.04488
-154.039391,119,13.162136
-174.552179,103,13.252096
-272.811596,85,13.312822
-274.296917,91,13.371048
-242.713606,113,13.453313
-271.985512,146,13.580369
-121.733776,91,13.674581
-296.524301,84,13.736513
-134.678507,85,13.81092
-232.912815,107,13.912755
-182.649561,128,14.02008
-158.443054,69,14.091155
-189.761696,71,14.128678
-250.507132,99,14.187307
-263.759423,98,14.247575
-168.891832,80,14.30551
-233.541219,75,14.385712
-87.906942,81,14.443418
-138.93172,97,14.538138
-144.239427,108,14.629603
-121.702864,91,14.703197
-240.293499,108,14.761496
-137.671901,77,14.801283
30.705082,139,14.92714
-179.628568,104,15.029264
-80.230196,121,15.13578
-144.090925,96,15.219985
-192.967871,83,15.271174
-201.40421,131,15.389493
-93.980641,89,15.447134
-74.976698,68,15.518067
-99.704575,89,15.580147
-226.848123,68,15.618538
-133.407839,93,15.676364
-105.228034,85,15.752093
-243.927187,121,15.868127
-164.638068,77,15.934742
-73.818251,62,16.009464
-80.059539,89,16.082474
-130.301928,81,16.153834
-118.289011,104,16.218821
-112.77491,78,16.27533
-53.424455,87,16.352291
-131.031006,64,16.411806
-152.914579,78,16.486131
-127.705938,106,16.58613
-98.033349,59,16.632605
-116.986621,111,16.740964
-120.124819,85,16.785416
-117.385332,102,16.897391
-19.769299,120,17.020441
-11.062742,153,17.170362
-96.530197,87,18.303617
-108.63874,104,18.390953
-93.568301,88,18.454886
-117.796329,65,18.528272
-132.217836,118,18.641021
-104.798258,143,18.763846
-94.053325,67,18.817113
-151.87886,95,18.907012
-100.520845,76,18.954141
-157.250664,68,19.000682
-76.951175,86,19.079589
-198.00481,122,19.190875
-63.871747,95,19.268146
-104.367885,84,19.334602
7.623942,109,19.413368
-153.666545,82,19.499416
-224.316198,124,19.601266
-91.69081,107,19.70863
-115.722983,111,19.793864
-88.619423,80,19.876898
-252.818384,101,19.950638
-53.577962,67,20.028807
-129.182885,100,20.086093
-139.826248,89,20.178097
-162.837313,95,20.237043
-92.105948,89,20.328311
-56.653865,78,20.378853
-32.663457,79,20.451258
-126.048384,78,20.526008
-122.349652,118,20.646129
-106.199134,79,20.701413
-209.904534,123,20.784726
-72.720609,77,20.869016
-129.856644,83,20.952946
-200.050024,100,21.030318
-62.201795,111,21.110646
-102.543279,82,21.189133
-68.379299,104,21.243887
-115.514519,93,21.333699
-324.3919,99,21.387357
-161.737606,120,21.467939
-115.777566,109,21.55168
1.397564,126,21.672261
-122.176606,62,21.718182
-145.200066,85,21.774568
-74.640728,126,21.835034
-185.040031,92,21.88517
-81.453852,121,22.003913
-298.237345,104,22.101581
-155.585365,117,22.168471
-64.641175,127,22.267987
-100.306284,95,22.351688
-149.994832,130,22.451523
-268.30302,114,22.55234
-74.46831,69,22.605749
-223.226764,87,22.654004
-113.708421,59,22.717935
-98.09378,95,22.784883
-148.813225,114,22.851559
-167.246055,119,22.96796
-146.682449,64,23.001793
-76.449401,73,23.051723
-478.914576,124,23.167988
-69.60051,145,23.300241
-61.346851,67,23.351713
-103.523748,83,23.435059
-54.548154,112,23.505848
-153.387165,73,23.583091
-321.091286,133,23.701696
-206.425321,109,23.767931
-78.848711,89,23.837145
