#{"t_start": 1782818745.3617308, "env_id": "LunarLander-v3"}
r,l,t
-365.385724,123,0.03708
-139.767574,91,0.103794
-214.195727,68,0.131242
-39.253132,100,0.175652
-177.474823,102,0.231072
-413.559948,96,0.29776
-165.601201,85,0.351211
-235.546013,81,0.415715
-130.312559,103,0.467798
-441.487511,88,0.531901
-287.384623,92,0.582318
-174.319677,98,0.631431
-275.871952,112,0.715214
-122.991942,110,0.796052
-101.227219,82,0.847503
-86.956984,88,0.913725
-78.341369,56,0.947554
-305.954097,95,1.021901
-63.99358,60,1.047503
-110.513473,65,1.097131
-300.692978,103,1.168454
-124.454779,72,1.215468
-72.377567,65,1.27477
-194.694765,150,1.368653
-9.963828,107,1.431379
-181.584733,79,1.668709
-130.431989,90,1.71473
-13.745897,100,1.787711
-167.052777,112,1.835285
-193.120645,68,1.864699
-179.337785,73,1.881398
-207.764824,67,1.916818
-332.442141,134,1.981204
-155.557368,98,2.048368
-68.665444,65,2.096137
-137.086901,126,2.148642
-191.828912,114,2.21474
-175.950277,120,2.298506
19.550486,122,2.380825
-274.913926,105,2.44768
-73.739825,66,2.498137
-242.787478,117,2.583404
-121.162166,92,2.648235
-166.757905,67,2.697509
-115.157509,70,2.730722
-570.225963,105,2.780737
1.632469,100,2.864717
-115.048227,77,2.914721
-323.494512,70,2.968345
-88.193714,71,3.014245
2.318304,86,3.082181
-128.388163,109,3.137092
-136.529452,131,3.180384
-131.215425,73,3.229548
-425.568324,76,3.281086
-236.268553,83,3.330853
-250.600279,79,3.38055
-144.832584,118,3.468791
-277.661917,93,3.547169
-92.134955,120,3.614009
-50.468982,62,3.668879
-94.682869,97,3.714514
-91.159449,68,3.74714
-95.935443,70,3.792647
-54.812596,95,3.864806
-384.559734,109,3.914696
-401.568004,113,4.013849
-162.809316,64,4.047472
-60.991084,70,4.080976
-161.206353,85,4.131061
-108.918062,89,4.198016
-151.956107,69,4.2309
-129.030452,93,4.313146
-92.523124,96,4.380814
-89.212868,74,4.447595
-187.032783,72,4.497824
-392.733085,120,4.598014
-189.652457,100,4.664716
-168.941323,128,4.748116
-396.327189,131,4.831977
-67.717727,60,4.875615
-426.141518,105,4.948141
-139.518005,69,4.979701
-113.019082,70,4.997942
-49.771418,109,5.080368
-199.315573,111,5.147625
-104.773643,62,5.201167
-287.331986,80,5.246598
-193.51042,69,5.270567
-308.813432,100,5.314847
-266.673702,114,5.39906
-108.363734,92,5.433496
-78.150133,100,5.498167
-70.603297,66,5.547574
-96.606507,69,5.598063
-377.807092,95,5.665867
-75.605266,74,5.716191
-97.641086,102,5.78409
-177.297497,129,5.871655
-179.529545,73,5.915215
-324.361836,118,5.997891
-198.851887,62,6.030367
-176.092505,79,6.071575
13.342347,104,6.130853
-147.590211,90,6.19796
-241.422667,105,6.264715
-215.498741,98,6.331049
-144.254509,93,6.397931
-117.711829,73,6.450932
-125.630871,110,7.280825
-127.979309,77,7.347698
-37.020531,119,7.414574
-82.848207,72,7.48057
-157.535908,125,7.57143
-275.007525,113,7.630988
-85.362308,62,7.681032
-192.178188,76,7.731227
-128.879353,91,7.797628
-161.968806,119,7.882464
-228.94505,84,7.952516
-163.996074,82,7.997715
-157.315207,73,8.030862
-203.057241,60,8.080725
-133.964376,115,8.174731
-466.142615,125,8.230839
-242.822129,102,8.280903
-199.314064,95,8.331021
-189.29926,81,8.38122
-187.961203,95,8.447358
-152.489482,116,8.514726
-455.448421,115,8.612391
-61.758959,69,8.647567
-133.907306,106,8.730677
-267.785122,90,8.780943
-235.487752,92,8.847615
-69.227722,94,8.914207
-74.580465,73,8.964401
-156.988803,86,9.015774
-112.954226,97,9.097736
-83.295042,70,9.147349
-236.311686,74,9.197689
-17.608858,80,9.257944
-96.721778,65,9.286903
-208.74869,97,9.364695
-141.052987,92,9.414216
-270.407449,95,9.496137
-16.020296,78,9.530744
-318.046377,95,9.58047
-66.515086,71,9.597349
-278.410561,92,9.656069
-54.57629,61,9.697807
-202.120465,129,9.780738
-322.439647,116,9.880752
-150.381775,154,9.964069
-356.764767,82,9.997704
-152.790383,98,10.077201
-281.975775,85,10.144699
-103.287875,118,10.214146
-212.590428,104,10.280662
-334.264702,78,10.330792
-150.974928,96,10.414039
-104.386236,96,10.464414
-238.937659,88,10.530741
-12.079313,1000,11.164083
-105.149763,124,11.231085
-145.418838,109,11.277941
-112.818912,78,11.311382
-184.469864,83,11.381054
-97.132911,81,11.413994
-137.786032,98,11.480751
-191.405345,92,11.554041
-94.392969,73,11.610494
-160.062452,98,11.665392
-110.622095,64,11.713976
-87.406187,99,11.780939
-57.803878,74,11.814018
-218.610523,121,11.880795
-196.944189,107,11.930662
-123.327838,125,12.030721
-68.883238,118,12.103438
-125.308123,86,12.169995
-198.785983,107,12.213987
-114.702001,90,12.263743
-116.661859,97,12.344862
-378.768246,120,12.414189
-91.35011,65,12.464275
-112.075027,114,12.547413
-155.931312,129,12.614401
-120.674051,110,12.680986
-140.307137,68,12.732147
-121.267639,85,12.808329
-193.937377,62,12.847623
-472.528332,104,12.929189
-385.584054,83,12.980994
-189.570962,105,13.047431
-154.236003,91,13.098482
-124.587521,84,13.164188
-418.841647,109,13.231027
-273.162735,113,13.316651
-277.239136,103,13.347468
-242.907971,73,13.411484
-60.190836,90,13.463978
-48.666078,69,13.507498
-149.804787,78,13.530937
-94.491196,59,13.563764
-239.031293,103,13.61412
-63.281189,128,14.652605
-3.953021,91,14.715797
-107.827297,64,14.763324
-131.718357,94,14.826604
-86.795353,67,14.874019
-262.82618,111,14.953196
-119.848271,62,14.984818
-152.88832,88,15.048032
-129.184597,62,15.095453
-115.264161,66,15.142919
-144.143903,118,15.222064
-378.231889,92,15.286164
-156.696779,96,15.348677
-104.340255,104,15.412104
-164.465671,130,15.50688
-131.921523,122,15.587101
-149.531558,81,15.649612
-219.968864,92,15.71291
-131.832515,82,15.776103
-107.339892,64,15.807708
-98.720723,68,15.855185
-86.735155,74,15.918737
-198.233918,135,15.997807
-115.994608,94,16.076815
-478.255495,105,16.140044
-57.338465,70,16.188632
-212.886549,91,16.251144
-166.449263,94,16.314332
-277.952264,100,16.389299
-165.41274,90,16.440868
-227.967735,136,16.536052
-141.338384,124,16.630911
-186.284099,93,16.694152
-74.702195,83,16.741608
-96.868656,82,16.805232
-97.224133,113,16.884285
-136.037897,82,16.947532
-236.489834,90,16.99498
-94.304098,89,17.058645
-110.073892,93,17.122173
-126.916279,106,17.201301
-143.476441,87,17.264585
9.196792,136,17.359461
-198.272487,67,17.407295
-220.650488,88,17.454652
-137.573565,110,17.533782
-97.217285,71,17.58126
-198.799097,102,17.660312
-33.632708,101,17.723907
-94.113189,70,17.771338
-154.476741,103,17.850296
-202.526064,172,17.96092
-285.357584,142,18.056173
-376.993737,80,18.103639
-143.649678,83,18.166919
-178.127236,116,18.245946
-159.418816,123,18.32552
-228.766898,70,18.372898
-126.622659,59,18.420368
-96.336527,75,18.467789
-10.595158,105,18.546777
-459.636992,117,18.626252
-193.758864,98,18.696183
-65.247313,91,18.752681
-95.456291,76,18.800078
-87.043279,117,18.879142
-125.61697,140,18.990296
-251.873601,125,19.069314
-139.363219,75,19.116717
-92.416373,79,19.179924
-212.320051,97,19.243581
-301.878884,90,19.306724
-306.979769,80,19.354105
-381.05897,117,19.448807
-124.609,111,19.51193
-174.776643,132,19.606929
-202.057275,90,19.670139
11.473706,122,19.749182
-164.982073,71,19.799576
-289.809048,102,19.875849
-115.988234,113,19.954938
-114.34004,88,20.018139
-111.422982,90,20.081325
-17.325044,127,20.160377
-122.663739,70,20.207834
-89.975472,133,20.302901
-83.231469,66,20.350315
-214.345378,151,20.461006
-120.133423,73,20.508429
-87.159676,76,20.555829
-163.952804,101,20.619134
-102.880987,66,20.666573
-137.040171,97,20.729829
-91.508408,54,20.777269
-220.301224,98,20.840481
-314.834887,85,20.903177
-176.859203,78,20.950612
-145.264628,99,21.02969
-143.059575,122,21.108712
-112.390397,94,21.171938
-476.446657,99,21.235201
-200.959782,135,21.330022
-204.266044,110,21.409132
-92.982417,85,21.472341
-123.517631,114,23.054627
-133.826206,135,23.149548
-229.257281,114,23.228541
-171.704619,128,23.30967
-29.82456,113,23.387047
-154.983963,144,23.497644
-123.39564,68,23.545086
-84.674938,83,23.592524
-330.525923,102,23.6715
-53.013112,91,23.734683
-123.81853,128,23.813746
-122.40894,63,23.861085
-170.354613,100,23.940105
-245.740384,69,23.987544
-126.560572,96,24.050776
-114.054627,85,24.113892
-195.710141,113,24.192877
-330.725992,93,24.256249
-168.541869,101,24.319513
1.966602,88,24.382674
-98.376828,121,24.461996
-116.00942,107,24.541038
-103.674708,121,24.620171
-202.242959,113,24.699167
-275.184763,112,24.778207
-171.413972,119,24.857227
-256.932679,88,24.920434
-130.840742,79,24.967875
-181.435317,98,25.046331
-129.591028,104,25.114686
-121.436074,88,25.172719
-25.778752,82,25.23595
-182.269486,101,25.299167
-295.112631,79,25.36273
-120.572015,159,25.473295
-98.20364,98,25.536449
-134.039434,117,25.616127
-86.314073,77,25.663529
-119.947476,118,25.758219
-147.694374,79,25.805625
-78.755995,68,25.853054
-211.942491,124,25.932443
-149.745992,100,26.011444
-98.701915,68,26.058871
-132.185027,75,26.117465
-139.405269,75,26.169441
-81.561814,87,26.217481
-128.304579,98,26.296333
-145.015335,134,26.391199
-133.25937,121,26.470142
-129.379757,119,26.549556
-110.921005,73,26.597034
-170.172925,94,26.660303
-86.221443,105,26.739289
-133.578024,105,26.819367
-69.692929,103,26.881872
-134.692794,79,26.945055
-86.042358,93,27.008191
-139.780342,90,27.071419
-41.881544,66,27.119833
-131.120804,58,27.150681
-371.630681,89,27.220115
-77.560918,60,27.261368
-207.093243,102,27.324676
-92.225111,126,27.420933
-181.024582,115,27.498709
-121.585511,100,27.561863
-420.561934,106,27.640884
-140.569038,117,27.721494
-122.577254,75,27.767664
-103.159485,86,27.830858
-92.534958,133,27.925688
-72.023287,63,27.973007
-99.893025,103,28.036075
-28.619431,138,28.130844
-113.657429,76,28.194084
-68.663864,117,28.273129
-151.487667,92,28.336318
-151.169838,75,28.383742
-186.999674,66,28.431136
-99.825723,107,28.510198
-110.464671,91,28.573312
-100.619592,72,28.62389
-100.818247,69,28.668111
-94.770376,104,28.731416
-171.749741,77,28.794618
-104.909514,90,28.857953
-17.599938,140,28.952797
-122.588239,85,29.000171
-124.1916,136,29.095076
-121.629348,80,29.158649
-107.285301,92,29.225562
-102.269574,92,29.285062
-212.913936,93,29.348232
-47.736287,109,29.427129
-105.10685,116,29.506052
-79.936561,78,29.553472
-97.260605,142,29.664024
-171.569329,104,29.727253
-62.256323,105,29.806379
-121.992458,70,29.853846
-125.705066,109,29.932823
-142.075965,122,30.50221
-87.899535,122,30.581235
-122.545836,96,30.644784
-261.100077,93,30.708006
-130.350001,101,30.78705
-110.708744,63,30.834511
-132.785582,125,30.913569
-146.842033,64,30.961277
-159.22916,93,31.031171
-121.456872,76,31.071882
-120.974353,88,31.135189
-177.677692,102,31.214127
-176.363277,92,31.27773
-140.794035,123,31.356799
-117.885176,109,31.435798
-132.768266,135,31.532182
-105.34445,114,31.609975
-134.18721,95,31.673213
-136.331731,102,31.752403
-185.378442,97,31.815687
-324.511677,130,31.910845
-167.0853,121,31.989809
-109.062347,99,32.052991
-196.192227,92,32.116239
-267.978663,96,32.195749
-294.906722,104,32.258992
-310.981111,149,32.369696
-65.913411,127,32.44915
-136.616752,121,32.543994
-192.486737,100,32.60724
-138.958357,97,32.686324
-70.562778,59,32.717923
-147.442202,84,32.781593
-159.597575,108,32.860586
