#{"t_start": 1782797130.064722, "env_id": "LunarLander-v3"}
r,l,t
-365.385724,123,0.032876
-139.767574,91,0.103118
-214.195727,68,0.136649
-39.253132,100,0.219082
-177.474823,102,0.26667
-413.559948,96,0.332186
-165.601201,85,0.40018
-235.546013,81,0.448858
-130.312559,103,0.519726
-441.487511,88,0.58901
-287.384623,92,0.632814
-174.319677,98,0.708803
-275.871952,112,0.765511
-122.991942,110,0.849036
-101.227219,82,0.90096
-86.956984,88,0.965656
-78.341369,56,0.998894
-305.954097,95,1.065546
-63.99358,60,1.101042
-110.513473,65,1.132283
-300.692978,103,1.201264
-124.454779,72,1.249169
-72.377567,65,1.30603
-194.694765,150,1.40431
-9.963828,107,1.48259
-181.584733,79,1.524812
-130.431989,90,1.591986
-13.745897,100,1.665219
-167.052777,112,1.715513
-193.120645,68,1.748847
-179.337785,73,1.816669
-207.764824,67,1.863837
-332.442141,134,1.952716
-155.557368,98,2.022024
-68.665444,65,2.065307
-137.086901,126,2.154734
-191.828912,114,2.22517
-175.950277,120,2.317506
19.550486,122,2.377689
-274.913926,105,2.459479
-73.739825,66,2.481998
-242.787478,117,2.572576
-121.162166,92,2.631799
-166.757905,67,2.693474
-115.157509,70,2.715516
-570.225963,105,2.802981
1.632469,100,2.879674
-115.048227,77,2.933109
-323.494512,70,2.994716
-88.193714,71,3.015228
2.318304,86,3.093423
-128.388163,109,3.146005
-136.529452,131,3.230489
-131.215425,73,3.279682
-425.568324,76,3.311657
-236.268553,83,3.34781
-250.600279,79,3.398313
-144.832584,118,3.483821
-277.661917,93,3.554628
-92.134955,120,3.626072
-50.468982,62,3.671156
-94.682869,97,3.730373
-91.159449,68,3.778801
-95.935443,70,3.832035
-54.812596,95,3.902651
-384.559734,109,3.969063
-401.568004,113,4.044277
-162.809316,64,4.07478
-60.991084,70,4.104372
-161.206353,85,4.181731
-108.918062,89,4.221156
-151.956107,69,4.2811
-129.030452,93,4.354377
-92.523124,96,4.421416
-89.212868,74,4.483981
-187.032783,72,4.528612
-392.733085,120,4.58385
-189.652457,100,4.650139
-168.941323,128,4.717634
-396.327189,131,4.816871
-67.717727,60,4.865899
-426.141518,105,4.916796
-139.518005,69,4.965136
-113.019082,70,5.026434
-49.771418,109,5.083726
-199.315573,111,5.14786
-104.773643,62,5.19757
-287.331986,80,5.233142
