#{"t_start": 1782802441.2061605, "env_id": "LunarLander-v3"}
r,l,t
-126.664814,63,0.015742
-123.661574,81,0.047638
-213.642331,96,0.158494
13.414924,78,0.22127
-136.431782,108,0.339018
-75.380176,75,0.411793
5.030048,88,0.494683
-244.880758,119,0.603956
-119.803168,95,0.67071
-99.424645,83,0.727777
-381.179026,102,0.829896
-282.555432,90,0.918839
-147.803727,122,1.03228
-377.091485,105,1.126472
-80.222159,65,1.189802
-284.567269,93,1.289824
-140.15616,84,1.371385
-159.317575,103,1.470697
-257.964588,94,1.559683
24.619027,83,1.64595
-69.767162,68,1.696598
-236.33285,83,1.759202
-125.625819,74,1.802757
-130.143475,80,1.857708
-42.703239,125,1.984456
-290.676732,103,2.072996
-114.299439,87,2.173391
-82.65829,70,2.242554
-153.059136,63,2.303769
-89.730277,62,2.364815
-240.97725,81,2.445637
-125.239172,73,2.51862
-84.094786,59,2.581138
-211.36803,73,2.647479
-144.852787,84,2.726969
-291.639685,110,2.843984
-290.734411,94,2.936185
-318.476355,83,3.018998
-287.839797,83,3.09981
-437.301034,100,3.204067
-119.644577,85,3.294262
-137.16447,86,3.384838
-87.636936,80,3.469502
-320.23114,101,3.567584
-260.516537,99,3.668437
-342.57173,136,3.814855
-133.477462,74,3.88475
-187.855696,128,4.010816
-276.298079,95,4.121045
-96.803151,62,4.168407
-50.792535,62,4.228089
-420.636766,88,4.315093
-143.702866,89,4.413054
-80.423887,82,4.495877
-313.722852,78,4.572649
-129.36519,103,4.683176
-221.785502,107,4.793774
-80.958077,106,4.900369
-89.53146,129,5.027366
-554.873451,90,5.119853
-365.464588,92,5.200111
-107.512761,82,5.295449
-329.262062,106,5.3957
-140.679353,128,5.535538
-119.518242,134,5.672145
-202.985083,106,5.780299
-95.042408,101,5.882879
-133.677197,109,5.996266
-363.343157,118,6.100605
-301.765002,132,6.188494
-424.984038,87,6.281388
-185.09125,82,6.365275
-89.102468,70,6.441379
-239.709954,82,6.515979
-75.462753,123,6.664024
-153.75283,110,6.775299
-79.533438,68,6.846021
-267.62559,98,6.953101
-176.368529,104,7.067103
-80.520272,82,7.15445
-131.72952,80,7.237412
-112.574146,68,7.30851
-114.226654,64,7.370147
-152.835669,94,7.468626
-102.317928,66,7.533938
-101.085979,130,7.663279
-120.391519,116,7.786596
-205.827194,90,7.878897
-129.577175,97,7.977546
-114.993575,119,8.095887
-147.688494,108,8.205453
-99.724568,69,8.278521
-116.861483,101,8.383162
-115.164234,100,8.489309
-197.687597,86,8.576391
-158.622562,92,8.673098
-98.127333,76,8.753591
-311.570197,84,8.842213
-87.621742,71,8.913063
-159.230717,87,9.000861
-148.478627,114,9.11605
-119.987885,62,9.183859
-99.117093,89,9.274187
-189.273155,108,9.383956
-102.150553,95,9.482824
-283.831502,103,9.591853
-111.628656,75,9.667237
-371.706863,128,9.802143
-92.597578,75,10.74293
-171.588026,71,10.780229
-180.101573,72,10.825765
-86.644849,75,10.883054
-132.492137,61,10.922084
-249.055701,85,10.979671
-116.750335,67,11.046476
-124.270982,82,11.129354
-88.144321,63,11.194135
-406.214401,96,11.291019
-38.193335,126,11.419635
-141.456919,73,11.478658
-315.218246,128,11.623852
-89.98737,68,11.684871
-330.226871,76,11.777077
-120.918101,108,11.890899
-145.037926,82,11.973459
-98.461235,70,12.045867
-120.422542,86,12.129189
-54.964497,75,12.204128
-130.379518,115,12.322673
-124.170865,85,12.406919
-134.660787,74,12.481706
-172.343603,98,12.578126
-216.424139,112,12.706883
-10.652994,114,12.825039
-241.453111,85,12.91159
-122.645228,91,13.007675
-111.499702,79,13.086729
-136.419181,66,13.153865
-105.934338,93,13.250155
-140.961458,66,13.316455
-123.71344,125,13.439761
-290.860463,114,13.55223
-169.703615,69,13.624787
-125.181274,87,13.708824
-96.580479,108,13.816882
-76.10459,61,13.877918
-103.904226,88,13.968993
-73.269874,80,14.048115
-72.289364,112,14.156377
-354.288499,83,14.241602
-302.681897,109,14.35671
-229.072074,111,14.47159
-111.898679,92,14.565881
-160.823968,123,14.667655
-135.930038,98,14.757707
-354.176119,109,14.844643
-401.875788,86,14.896354
-228.768527,85,14.951699
-103.656865,116,15.02711
-135.900698,124,15.102104
-217.809504,101,15.164643
-79.485485,68,15.206173
-158.440942,109,15.272975
-26.795834,107,15.339779
-153.736493,66,15.379172
-93.6717,157,15.464614
-282.000557,100,15.519826
-87.401051,64,15.562047
-122.242238,82,15.61601
-369.88756,82,15.675449
-55.928043,70,15.745736
-218.60072,61,15.808771
-175.091312,64,15.866071
-129.368389,102,15.927578
-142.51595,89,16.016628
-161.078096,129,16.152196
-224.182761,72,16.228129
-272.124994,98,16.33346
-200.271479,68,16.405627
-384.819898,100,16.506439
-157.477964,113,16.621326
-96.910712,84,16.680358
-99.036578,107,16.745658
-75.525732,126,16.826893
-102.915784,77,16.876271
-98.608951,63,16.900222
-87.814074,71,16.946012
-115.482629,84,16.981536
-150.792156,84,17.038893
-107.234021,106,17.105678
-343.57902,71,17.176246
-272.319137,108,17.286968
-105.914908,101,17.370367
-346.825428,84,17.453719
-131.009381,88,17.538522
-93.419229,95,17.635343
-82.051794,82,17.7219
-138.005479,90,17.81054
-339.290868,116,17.911342
-113.96271,69,17.979389
-168.465198,61,18.040271
-127.091584,78,18.111578
