#{"t_start": 1782379556.2019634, "env_id": "LunarLander-v3"}
r,l,t
-151.049285,110,0.029061
-123.099508,73,0.067004
-90.641816,130,0.172623
-109.058811,77,0.20014
-206.365201,111,0.283025
-116.403803,77,0.330353
-338.212658,78,0.383402
-96.969646,64,0.40035
-96.468858,91,0.466659
-83.921857,77,0.500262
-422.026414,97,0.566605
-324.030178,140,0.651682
-402.407081,144,0.735332
-100.527676,87,0.800297
-81.14435,142,0.906435
-156.075232,102,0.949978
-88.343767,63,0.986564
-217.550437,119,1.066575
-90.652722,90,1.103396
-117.97704,124,1.166371
-128.482326,72,1.216427
-213.09962,105,1.302828
-132.064046,93,1.3499
-125.054138,113,1.432634
-297.189044,121,1.483187
-184.351297,84,1.519916
-216.135018,100,1.587138
-337.663657,98,1.633068
-322.037903,103,1.700707
-119.789933,97,1.766399
-150.201268,99,1.816546
-151.419342,80,1.866047
-127.801502,74,1.914826
-158.863778,78,1.966371
-54.017867,70,2.000918
-249.447836,108,2.049744
-122.873701,105,2.115891
-170.759826,77,2.166235
-555.995886,103,2.216403
-75.14582,61,2.27438
-85.842022,76,2.301491
-119.718454,90,2.332952
-108.83116,64,2.383208
-115.960349,63,2.40177
15.038159,1000,3.024285
-247.058987,87,3.065982
-168.568358,67,3.119914
-105.364173,77,3.158173
-470.402682,77,3.20243
-292.444725,66,3.249594
-152.243412,85,3.283061
-314.425822,97,3.33325
-89.853892,76,3.383419
-129.422034,76,3.43268
-190.328616,92,3.499579
-161.480182,83,3.536176
-115.363877,98,3.583563
-75.750773,131,3.66678
-111.935326,74,3.709404
-110.751227,111,3.783103
-97.112016,85,3.833498
-296.097547,91,3.898386
-331.080447,106,3.974569
-308.040572,91,4.016479
-174.465965,83,4.049681
-192.64465,62,4.09315
-49.173044,67,4.133369
-146.144969,67,4.187094
-244.572037,76,4.216431
-166.242834,110,4.303729
-252.704572,107,4.366467
-256.33525,110,4.43305
-80.376321,73,4.466372
-128.692063,103,4.54983
-135.123406,110,4.61691
-319.174216,89,4.666982
-334.234129,135,4.716532
-81.140485,74,4.766648
-139.508417,103,4.820919
-135.546703,80,4.866951
-77.96844,73,4.933024
-143.238784,96,4.982976
-115.112288,108,5.036346
-294.548978,106,5.116358
-416.071814,141,5.199578
-145.275288,102,5.232934
-223.725774,148,5.320792
-83.342024,73,5.353316
-203.953147,63,5.406931
-527.658761,120,5.468997
-154.664204,102,5.544788
-143.747727,60,5.57904
-351.042397,85,5.616397
-221.412313,76,5.682951
-142.880201,97,5.729068
-160.422361,87,5.766805
-63.913115,113,5.853745
-176.654217,75,5.887806
-80.157056,85,6.485405
-189.188565,68,6.533458
-121.141632,118,6.616951
-174.880151,91,6.650147
-162.124531,104,6.705985
-622.489576,111,6.766803
-138.529842,74,6.816072
-396.675366,129,6.90809
-113.092799,95,6.953658
-95.213102,95,6.986652
-105.023212,101,7.068966
-118.57204,99,7.133592
-239.139687,118,7.208691
-120.159694,99,7.282531
-100.506883,76,7.322196
-391.241829,110,7.384653
-97.216632,85,7.437512
-137.52046,87,7.486657
-146.236811,65,7.516371
-118.899684,109,7.566494
-103.411866,99,7.633047
-208.532344,65,7.649949
-88.619925,65,7.707209
-79.092627,63,7.756144
-132.052789,70,7.791875
-137.002632,143,7.86639
-178.13384,116,7.949306
-153.13745,87,7.982579
-284.210189,91,8.016527
-351.006306,94,8.099291
-248.597208,103,8.166372
-285.764499,118,8.239828
-256.020685,81,8.294805
-162.130951,140,8.366595
-98.246183,58,8.420017
-77.226404,106,8.466624
-87.147441,87,8.499689
-406.696206,93,8.5498
-88.868313,81,8.618017
-64.295152,96,8.651259
-264.528879,113,8.71079
-148.857852,81,8.75302
-121.765495,69,8.783087
-162.012805,108,8.866281
-287.632274,105,8.926939
-89.976703,77,8.983135
-269.575732,118,9.068681
-376.69702,90,9.121007
-104.194849,90,9.184627
-130.759762,92,9.216511
-232.773319,134,9.283883
-192.587503,57,9.316313
-292.572402,118,9.38351
-100.131285,79,9.439547
-333.557978,147,9.532788
-146.79903,85,9.583101
-107.462233,95,9.649937
-118.753684,68,9.699788
-116.872634,96,9.766492
-200.005484,93,9.799896
-97.497802,79,9.866657
-117.527058,105,9.916576
-334.263027,100,9.992883
-280.266855,93,10.036709
-144.078213,102,10.100292
2.875998,82,10.152297
-224.342602,93,10.189435
-243.20814,72,10.219421
-144.346659,95,10.2932
-108.490897,105,10.368027
-336.319165,105,10.432583
-82.190407,63,10.463132
-88.148295,105,10.533139
-52.817405,109,10.586091
-101.371413,88,10.651052
-204.674087,107,10.716919
-145.569651,104,10.786425
-115.933,99,10.848524
-257.731712,76,10.899889
-106.74808,77,10.948525
-256.95085,131,11.018522
-85.395972,72,11.049895
-105.496831,77,11.103164
-129.906552,113,11.166064
-127.582781,105,11.232573
-102.721792,72,11.251818
-108.232184,82,11.303144
-88.483588,86,11.349822
-105.018976,70,11.402254
-72.784473,66,11.451347
-304.308738,127,11.520202
-87.088558,99,11.582973
-58.401263,99,11.635696
-130.342021,78,11.700614
-321.158935,99,11.73559
-302.681363,123,11.833683
-169.284581,119,11.887982
-171.799111,97,11.956534
-233.107653,104,12.017901
-256.706566,89,12.067928
-82.449,99,12.13537
-9.554094,78,12.185068
-95.368616,77,12.233288
-138.19091,81,12.283162
-253.495058,95,12.341841
-139.869802,83,12.376532
-211.360228,120,13.008091
-181.94889,75,13.066971
-201.515372,91,13.128398
-108.21592,82,13.168966
-134.526109,93,13.23397
-97.215774,116,13.31379
-140.261145,114,13.383159
-314.155401,139,13.499843
-39.951216,149,13.566303
-131.831453,104,13.616374
-122.663867,84,13.668694
-231.831621,94,13.734194
-177.660338,67,13.789778
-223.726758,94,13.84151
-127.46059,113,13.898541
-29.797382,145,13.990002
-233.603858,109,14.062262
4.628671,77,14.099775
-292.559842,124,14.183564
-80.993241,93,14.252494
-177.746079,78,14.28491
-84.6504,74,14.318711
-156.097119,124,14.366952
-93.310994,65,14.415509
-121.75236,68,14.451191
-104.604564,77,14.507694
-126.531998,127,14.568228
-49.088456,123,14.648448
-106.554926,111,14.723516
-181.937714,122,14.782741
-281.794356,108,14.870347
-157.545512,121,14.932117
-179.018642,102,14.985023
-148.069861,100,15.032664
-184.165166,98,15.10008
-167.371458,101,15.149318
-96.822222,157,15.263747
-13.096074,84,15.301198
-107.592739,65,15.348522
-130.421604,79,15.384857
-90.163503,66,15.420843
-125.976434,94,15.488042
-116.045907,81,15.544084
-93.192251,61,15.585095
-136.331913,83,15.627328
-128.380854,96,15.672979
-282.003848,112,15.72763
-250.974026,126,15.808139
-59.16735,84,15.854374
-76.064518,85,15.898126
-183.774393,101,15.975365
12.487428,64,16.000494
-227.778015,124,16.067237
-158.99344,100,16.13367
-81.526932,89,16.203072
-163.955971,125,16.271488
-151.617151,117,16.351949
-90.414893,93,16.41182
-81.33551,79,16.469135
-182.908095,88,16.516155
-132.330182,100,16.575825
-112.533158,76,16.631855
-133.712586,123,16.709424
-79.407952,139,16.768167
-35.190252,129,16.85012
-48.947021,66,16.900357
-95.718856,99,16.966228
-46.663595,115,17.0503
-364.441929,81,17.083413
-132.125421,129,17.168762
-192.070674,103,17.233393
-42.602595,68,17.28382
-111.477776,72,17.333475
-134.944133,107,17.400573
-214.257257,84,17.433718
-74.568733,83,17.4998
-112.612046,80,17.549552
-104.143329,85,17.609498
-95.548079,145,17.685082
-134.264394,122,17.767812
-127.693016,87,17.835855
-106.697177,66,17.875748
-148.000379,131,17.967473
-83.237836,102,18.016507
-84.177533,84,18.066834
-108.53422,147,18.150166
-175.689733,85,18.21727
-88.770904,63,18.263608
-116.881047,94,18.324741
-91.934569,151,18.4189
-45.560365,108,18.482874
-64.147253,103,18.549937
-74.196983,113,18.637055
-121.5926,101,18.689291
-60.185518,76,18.715979
-57.480894,77,18.749503
-117.279929,92,18.797517
-131.107185,114,18.88259
-142.298257,84,18.926
-142.466689,117,18.967608
-83.006721,113,19.065319
-50.39253,119,19.666959
-14.868183,128,19.759098
-110.519205,112,19.837136
-102.666289,90,19.885638
-208.323728,112,19.933262
-176.866752,86,19.985357
-174.078681,83,20.050132
-360.00913,114,20.116974
-122.32983,98,20.183241
-111.041948,66,20.237395
-79.508287,83,20.266796
-137.041115,82,20.31673
-219.883483,117,20.398108
-62.734853,67,20.432907
-209.338738,100,20.509708
-71.993885,123,20.574174
-75.914223,84,20.618897
-186.872565,79,20.665987
-111.615803,110,20.733876
-121.266401,81,20.799624
-98.371323,120,20.851215
-115.878463,111,20.935651
-50.360662,89,20.972816
-73.635084,129,21.04947
-108.92894,100,21.114449
-42.927481,139,21.198315
-150.299877,104,21.252278
-134.794992,124,21.330469
-117.599639,114,21.40063
-85.667346,138,21.500106
-105.007662,86,21.544106
-187.416615,114,21.620019
-103.486849,82,21.66897
-88.738219,91,21.700432
-97.857256,79,21.750543
-96.912132,80,21.816417
-295.028065,114,21.882626
-270.14141,132,21.949317
-91.62677,63,21.983922
-196.809802,138,22.066418
-186.320442,94,22.1421
-91.521716,115,22.202183
-91.977628,150,22.299624
-108.596145,70,22.335995
-70.51239,81,22.392837
-145.863046,123,22.464379
-103.695988,94,22.534032
-170.744812,103,22.583187
-34.317014,148,22.66553
-91.564738,89,22.712726
-280.689066,122,22.799536
-62.30011,115,22.8726
-178.335018,122,22.952417
-146.797061,124,23.029307
-158.141048,75,23.083253
-178.610387,96,23.152337
-79.435427,87,23.201247
-91.377475,87,23.270376
-154.950634,143,23.362989
-91.048358,99,23.435099
-92.371565,85,23.484955
-94.01635,123,23.566631
-139.451483,112,23.649452
-109.385547,70,23.687207
-87.744133,148,23.782742
-117.791729,89,23.819253
-185.984268,118,23.916542
-106.907138,84,23.950107
-136.232581,112,24.033467
-111.249534,78,24.08276
-188.372387,65,24.113791
-28.508753,91,24.150004
-83.734721,69,24.185646
-32.802283,91,24.242383
-86.698569,114,24.316261
-93.671727,73,24.360349
-334.701256,132,24.416289
-57.869211,80,24.466212
-91.821792,76,24.522483
-139.948678,106,24.5859
-128.958842,79,24.650492
-67.402401,102,24.698033
-131.768626,85,24.745431
-248.067349,131,24.816848
-147.501794,124,24.900116
-99.921032,82,24.951366
-87.192273,111,25.016628
-148.246567,126,25.099946
-142.847301,99,25.151386
-134.370853,138,25.251297
-119.800034,95,25.300534
-236.074277,111,25.368692
-95.996245,85,25.416918
-114.163782,105,25.486105
-93.465139,70,25.515332
-69.903509,133,25.626341
-105.62239,102,25.704344
-76.417982,88,25.75079
-129.878071,95,26.483943
-75.211289,73,26.518501
-90.773368,90,26.566944
-208.549836,127,26.657645
-107.960127,128,26.733582
-91.71863,81,26.783262
-59.617985,114,26.835443
-123.6929,121,26.900537
-77.204649,68,26.941606
-174.937398,134,27.039748
-161.366975,94,27.082306
-108.49554,102,27.166127
-76.514641,131,27.233909
-73.878175,70,27.299071
