#{"t_start": 1782324491.966907, "env_id": "LunarLander-v3"}
r,l,t
-151.049285,110,0.0164
-123.099508,73,0.053892
-90.641816,130,0.137404
-109.058811,77,0.166887
-206.365201,111,0.238227
-116.403803,77,0.284941
-338.212658,78,0.318023
-96.969646,64,0.351377
-96.468858,91,0.38489
-83.921857,77,0.418284
-422.026414,97,0.468138
-324.030178,140,0.56791
-402.407081,144,0.654798
-100.527676,87,0.717065
-81.14435,142,0.768139
-156.075232,102,0.812561
-88.343767,63,0.83499
-217.550437,119,0.871329
-90.652722,90,0.912682
-117.97704,124,0.984658
-128.482326,72,1.030424
-213.09962,105,1.067948
-132.064046,93,1.13488
-125.054138,113,1.188483
-297.189044,121,1.268314
-184.351297,84,1.318348
-216.135018,100,1.388278
-337.663657,98,1.434906
-322.037903,103,1.468395
-119.789933,97,1.534892
-150.201268,99,1.584932
-151.419342,80,1.63439
-127.801502,74,1.68485
-158.863778,78,1.72169
-54.017867,70,1.751378
-249.447836,108,1.785007
-122.873701,105,1.834268
-170.759826,77,1.901367
-555.995886,103,1.961571
-75.14582,61,1.984639
-85.842022,76,2.01793
-119.718454,90,2.084677
-108.83116,64,2.11822
-115.960349,63,2.167876
15.038159,1000,2.651589
-247.058987,87,2.701386
-168.568358,67,2.718252
-105.364173,77,2.751257
-465.22234,77,2.788047
-292.444725,66,2.818209
-152.243412,85,2.888206
-314.425822,97,2.91817
-89.853892,76,2.951379
-129.422034,76,2.988031
-190.328616,92,3.018151
-161.480182,83,3.051586
-115.363877,98,3.084554
-75.750773,131,3.134937
-111.935326,74,3.168042
-110.751227,111,3.21817
-97.112016,85,3.267946
-296.097547,91,3.318058
-331.080447,106,3.384958
-308.040572,91,3.43493
-174.465965,83,3.501568
-192.64465,62,3.534826
-49.173044,67,3.568259
-146.144969,67,3.601389
-244.572037,76,3.651381
-166.242834,110,3.717943
-252.704572,107,3.78346
-256.33525,110,3.851243
-80.376321,73,3.88493
-128.692063,103,3.966648
-135.123406,110,4.017967
-319.174216,89,4.067928
-334.234129,135,4.15484
-81.140485,74,4.201338
-139.508417,103,4.271463
