#{"t_start": 1782387490.4808161, "env_id": "LunarLander-v3"}
r,l,t
-126.664814,63,0.0
-123.661574,81,0.039431
-213.642331,96,0.100043
13.414924,78,0.174546
-136.431782,108,0.25623
-75.380176,75,0.325894
-178.2666,70,0.393527
-186.426575,122,0.49352
-392.612201,99,0.546708
-77.480242,73,0.616538
-119.201002,104,0.714958
-439.756708,93,0.783081
-149.592295,97,0.846929
3.351618,110,0.964564
-139.992152,96,1.04687
-346.780278,88,1.132504
-133.324572,61,1.199069
-64.719776,78,1.247956
-358.280582,100,1.323108
-244.974237,131,1.397592
-127.391723,110,1.460187
-68.351279,127,1.533122
-128.66569,83,1.582656
-161.481689,70,1.616366
-86.920564,68,1.649079
-134.607434,105,1.718125
-104.155318,118,1.812597
-120.571311,67,1.880799
-96.354388,78,1.950308
-312.466753,77,2.034676
-345.001486,96,2.103535
-185.487952,104,2.165716
-176.692588,79,2.213691
-127.485267,67,2.265704
-180.150887,151,2.420351
-120.118963,68,2.482564
-94.884632,88,2.551225
-116.916304,86,2.623478
-352.382443,79,2.685401
-96.428249,103,2.76829
-222.686877,75,2.849415
-439.952789,139,2.982743
-164.451706,110,3.067642
-119.47991,81,3.126711
-248.397781,99,3.184732
-130.973278,103,3.231796
-329.048168,116,3.313259
-101.688223,72,3.348426
-234.339427,127,3.431349
-216.237808,91,3.480518
-170.419502,89,3.536664
-261.772246,98,3.58255
-80.364098,62,3.615916
-102.764462,84,3.679154
-198.663953,110,3.733881
-108.97918,59,3.779005
-326.62966,116,3.832358
-276.688275,135,3.918237
-329.289017,87,3.965686
-124.572919,90,4.018517
-245.930478,77,4.065692
-253.413227,108,4.139635
-123.75425,75,4.186521
-110.642382,97,4.235497
-142.056619,104,4.307417
-136.266134,71,4.350341
-179.962793,64,4.393993
-132.368084,97,4.449037
-293.4612,115,4.515943
-257.866287,78,4.565965
-113.877647,97,4.615891
-177.699107,75,4.671586
-266.372949,127,4.749509
-112.39191,67,4.781856
-313.165353,102,4.851664
-215.439254,122,4.922683
-267.381843,96,4.982332
-127.689171,90,5.032361
-128.681802,75,5.065689
-78.219893,61,5.113063
-247.501847,120,5.169021
35.975569,89,5.232297
