#{"t_start": 1782832368.4021537, "env_id": "LunarLander-v3"}
r,l,t
-211.131527,75,0.032214
-269.907051,65,0.063571
-480.578513,86,0.116169
-528.513625,108,0.197169
-509.106349,76,0.248042
-245.693533,93,0.313754
-310.794017,71,0.359236
-177.170897,82,0.415933
-409.036956,66,0.459518
-189.723594,76,0.51374
-226.196964,82,0.565097
-179.456254,72,0.617484
-425.50212,95,0.681844
-140.444006,70,0.731498
-337.467111,94,0.783006
-395.615761,75,0.846684
-252.760287,82,0.899609
-151.082156,71,0.948327
-245.19918,95,1.016194
-147.811673,89,1.064857
-75.975534,69,1.116325
-549.964552,98,1.182889
-355.088148,88,1.249472
-34.188669,70,1.299695
-186.366217,75,1.382533
-498.307514,97,1.448188
-71.221037,93,1.51625
-366.24555,95,1.581438
-493.381815,99,1.64818
-288.503564,73,1.697072
-388.653483,91,1.748339
-104.609741,71,1.801172
-407.517028,68,1.850771
-140.813102,114,1.934212
29.122447,85,1.983849
-311.378306,84,2.050594
-528.014082,86,2.11482
-81.576895,66,2.151178
-438.542984,96,2.215851
-480.822026,88,2.283482
-97.21273,71,2.333659
-163.295501,67,2.383745
-102.714598,69,2.433773
-497.124359,91,2.50042
-87.466214,59,2.548043
-410.281975,106,2.616215
-218.988386,128,2.713672
-80.387273,87,2.766338
-562.527143,110,2.848566
-122.192654,76,2.913353
-482.959775,108,2.983738
-173.482443,59,3.031924
-538.984145,79,3.083711
-95.726406,69,3.133931
-201.606221,73,3.183773
-131.899427,104,3.267
-152.504584,102,3.334007
-222.114368,117,3.416147
-39.917523,89,3.483648
-266.018724,93,3.550898
-98.825079,60,3.599547
-536.496886,114,3.680408
-215.770292,110,3.749557
-290.883396,106,3.836338
-106.478641,68,3.886182
-289.135081,105,3.9654
-135.962589,61,4.000921
-213.510973,64,4.049024
-348.009408,89,4.117763
-368.526122,98,4.183513
-496.659502,105,4.26549
-456.961475,91,4.333226
-217.986349,68,4.382363
-204.158352,80,4.433008
-368.958161,90,4.499852
-278.595489,94,4.56642
-9.857735,92,4.633062
-254.688466,91,4.70036
-145.606916,68,4.749946
-107.325784,65,4.80073
-296.630309,68,4.848229
-93.182212,65,4.883262
-326.244762,99,4.967427
-190.75981,70,5.016691
-160.40415,82,5.079812
-532.371618,112,5.159161
-154.48208,72,5.201374
-238.082367,71,5.248992
-381.422081,72,5.313735
-245.192351,97,5.382176
