#{"t_start": 1782811444.538052, "env_id": "LunarLander-v3"}
r,l,t
-211.131527,75,0.016365
-269.907051,65,0.037119
-480.578513,86,0.083519
-528.513625,108,0.150125
-509.106349,76,0.204319
-245.693533,93,0.277311
-310.794017,71,0.316773
-177.170897,82,0.383976
-409.036956,66,0.431729
-189.723594,76,0.474119
-226.196964,82,0.521457
-179.456254,72,0.555832
-425.50212,95,0.617244
-140.444006,70,0.651518
-337.467111,94,0.686368
-395.615761,75,0.74093
-252.760287,82,0.780801
-151.082156,71,0.803889
-245.19918,95,0.883549
-147.811673,89,0.938246
-75.975534,69,0.966616
-549.964552,98,1.038317
-355.088148,88,1.085415
-34.188669,70,1.140084
-186.366217,75,1.167037
-498.307514,97,1.236166
-71.221037,93,1.327152
-366.24555,95,1.386175
-493.381815,99,1.466519
-288.503564,73,1.516532
-388.653483,91,1.56649
-104.609741,71,1.616773
-407.517028,68,1.666512
-140.813102,114,1.716745
29.122447,85,1.766565
-311.378306,84,1.799962
-528.014082,86,1.868715
-81.576895,66,1.916752
-438.542984,96,1.969655
-480.822026,88,2.015203
-97.21273,71,2.04521
-163.295501,67,2.069849
-102.714598,69,2.134322
-497.124359,91,2.200112
-87.466214,59,2.245093
-410.281975,106,2.312155
-218.988386,128,2.387216
-80.387273,87,2.449807
-562.527143,110,2.516664
-122.192654,76,2.564904
-482.959775,108,2.649917
-173.482443,59,2.683219
-538.984145,79,2.716093
-95.726406,69,2.749914
-201.606221,73,2.804356
-131.899427,104,2.866782
-152.504584,102,2.920182
-222.114368,117,3.01527
-39.917523,89,3.070696
-266.018724,93,3.140061
-98.825079,60,3.183259
-536.496886,114,3.266799
-215.770292,110,3.337482
-290.883396,106,3.415358
-106.478641,68,3.450488
-289.135081,105,3.537284
-135.962589,61,3.566466
-213.510973,64,3.61608
-348.009408,89,3.666481
-368.526122,98,3.746347
-496.659502,105,3.789109
-456.961475,91,3.839904
-217.986349,68,3.889069
-204.158352,80,3.950056
-368.958161,90,4.000024
-278.595489,94,4.078193
-9.857735,92,4.116749
-254.688466,91,4.150208
-145.606916,68,4.199936
-107.325784,65,4.24402
-296.630309,68,4.289119
-93.182212,65,4.343924
-326.244762,99,4.399972
-190.75981,70,4.449884
-160.40415,82,4.516643
-532.371618,112,4.5666
-154.48208,72,4.603507
-238.082367,71,4.637254
-381.422081,72,4.666429
-245.192351,97,4.699934
-248.047985,106,4.799939
-679.522852,135,4.89011
-298.958192,116,4.949883
-300.962218,116,5.049738
-154.120355,115,5.116769
-174.530688,76,5.190142
-253.330271,120,5.266524
-236.977952,85,5.316669
-115.358384,65,5.359294
-440.230674,74,5.390106
-291.231776,104,5.455938
-183.666268,87,5.536211
-167.404748,79,5.590422
-109.636573,71,5.647171
-297.196162,59,5.690588
-378.244432,95,5.750265
-99.441466,69,5.816921
-451.530817,103,5.866711
-284.810322,63,5.899995
-245.151925,111,5.987178
-147.088845,65,6.016777
-444.733801,96,6.103368
-593.759714,100,6.166556
-120.516117,94,6.237996
-306.851068,61,6.266581
-136.396959,102,6.340104
-284.666203,68,6.96661
-211.219226,99,7.041998
-185.643732,130,7.11691
-545.966113,125,7.223363
-311.682933,75,7.253322
-432.649219,103,7.333983
-354.634642,70,7.366484
-155.577887,93,7.449854
-281.001533,103,7.516418
-459.373569,102,7.569634
-150.891904,71,7.635958
-96.950293,68,7.686891
-99.138422,110,7.766532
-323.723058,108,7.849933
-24.998397,74,7.903099
-381.818805,99,7.966137
-197.507787,74,8.016378
-157.414918,63,8.0498
-252.732511,79,8.103478
-314.889974,73,8.140974
-485.01307,112,8.220114
-115.653627,69,8.271559
-554.177022,97,8.349937
-393.524048,92,8.416598
-236.4158,146,8.53481
-81.257419,63,8.566502
-510.699123,114,8.641284
-121.672052,98,8.716489
-132.720547,129,8.816481
-215.206,70,8.852534
-389.408529,102,8.916567
-351.581906,94,8.983259
-22.385311,105,9.070099
-181.783833,122,9.150059
-484.1832,97,9.215291
-208.236316,67,9.266986
-101.69154,64,9.300147
-410.737884,110,9.393034
-607.256731,111,9.450087
-91.36558,73,9.509366
-260.897521,97,9.549885
-467.792713,91,9.593571
-373.261432,103,9.683058
-248.888791,78,9.716523
-68.826533,74,9.772875
-190.811167,69,9.820506
-192.68529,65,9.872444
-514.39768,104,9.920041
-269.505223,88,9.949812
-476.83294,114,10.030919
-97.201331,95,10.094195
-117.530224,72,10.127586
-414.387624,81,10.166227
-332.360412,78,10.2166
-253.432119,66,10.250008
-262.121942,61,10.300026
-237.132972,94,10.366538
-144.061239,68,10.416476
-295.229082,94,10.466483
-418.184675,110,10.553197
-237.265918,79,10.599797
-151.022714,75,10.652775
-289.932621,102,10.716514
-357.788895,82,10.750013
-195.732135,61,10.799981
-189.970554,105,10.883044
-354.783769,88,10.945017
-159.362709,129,11.032718
-111.140043,64,11.0762
-328.880167,64,11.116619
-370.155224,95,11.199794
-487.68961,115,11.266557
-214.778616,81,11.316832
-232.737903,99,11.399737
-197.598351,86,11.450017
-440.920168,97,11.516572
-117.196935,79,11.566548
-400.335299,109,11.639025
-193.237666,78,11.70245
-544.454064,89,11.766415
-316.490015,114,11.846996
-509.155806,82,11.883291
-119.174236,61,11.927995
-342.747487,85,11.983198
-121.366369,63,12.03277
-385.287939,73,12.083039
-91.15208,70,12.129828
-210.416414,76,12.183277
-100.705847,62,12.236807
-28.18123,113,12.300206
-243.36985,89,12.349854
-267.507042,74,12.41692
-376.247253,127,12.48345
-131.520166,77,12.536625
-132.255811,93,12.583124
-323.90351,99,12.666463
-209.964646,103,12.716682
-155.683558,65,12.766847
-393.162278,90,12.832849
-324.506691,115,12.900246
-137.087499,74,12.94995
-310.398448,117,13.042969
-498.688002,108,13.116643
-412.324254,129,13.199874
-287.529512,106,13.249846
-58.913147,100,13.299813
-217.520067,111,13.366694
-199.899967,75,13.416523
-321.120524,96,13.499959
-446.489584,96,13.550128
-370.452454,96,14.383234
-95.877858,63,14.416775
-219.791718,118,14.500564
-123.800359,70,14.549969
-236.695375,97,14.634706
-102.014915,81,14.700376
-415.902249,107,14.768503
-223.031398,94,14.837418
-363.599432,64,14.866854
-137.505404,66,14.916777
-132.214827,88,14.995078
-324.881953,68,15.029041
-231.651912,79,15.083396
-220.874968,80,15.145875
-392.048229,79,15.182752
-625.672706,102,15.232787
-74.577543,64,15.285873
-99.116534,78,15.344968
-156.026254,63,15.36663
-90.619677,72,15.402041
-203.751383,100,15.483173
-277.779145,81,15.537156
-48.2977,123,15.620649
-189.058497,118,15.703822
-117.05249,102,15.766419
-195.253731,95,15.8439
-417.269753,125,15.942
-75.933643,91,15.983044
-88.587389,94,16.066359
-511.072933,99,16.135678
-188.073563,86,16.202642
-235.836724,73,16.236809
-203.459338,66,16.266336
-160.623312,78,16.302616
-205.368689,102,16.383198
-42.887379,83,16.439107
-513.989413,140,16.544858
-240.414022,118,16.583172
-436.304152,116,16.653142
-259.232107,73,16.716409
-85.514753,112,16.783357
-87.840038,64,16.847008
-127.891823,125,16.902871
-185.699285,62,16.949807
-123.848729,66,17.003185
-121.823683,70,17.063759
-127.966634,80,17.115098
-128.064954,105,17.166599
-448.039101,98,17.249884
-424.759081,85,17.308237
-89.185195,71,17.349792
-319.16238,103,17.445801
-330.658559,72,17.482745
-121.519765,103,17.549798
-497.848219,102,17.621008
-314.607083,71,17.666553
-324.940844,89,17.739118
-185.336108,80,17.766443
-32.088243,78,17.816687
-223.353581,62,17.852078
-111.699389,71,17.898549
-417.253026,72,17.936626
-113.978348,60,17.981875
-164.513121,135,18.083184
-299.948915,92,18.116649
-271.793968,65,18.153371
-202.248263,61,18.204775
-252.686545,94,18.266351
-321.149737,128,18.345863
-510.34609,79,18.405157
-203.331435,80,18.449879
-282.744171,84,18.499849
-415.619485,77,18.564215
-199.118056,80,18.615093
-131.229836,96,18.686752
-212.26452,70,18.749964
-151.008684,117,18.813513
-494.001827,117,18.903814
-259.416828,96,18.96607
-455.425638,78,19.016428
-333.746714,93,19.066533
-131.228971,71,19.106056
-368.626524,128,19.200004
-145.295965,118,19.249852
-180.80657,88,19.30642
-400.862771,117,19.406729
-161.676623,109,19.449841
-128.792531,69,19.500162
-253.735775,69,19.534668
-170.004605,106,19.599723
-415.006649,102,19.649896
-225.937203,65,19.715431
-260.121252,99,19.766812
-198.221127,109,19.853091
-35.183088,67,19.899992
-108.815187,76,19.949725
-280.296251,143,20.032727
-266.593293,82,20.083433
-228.858227,97,20.149692
-187.720886,60,20.183265
-384.821715,89,20.233963
-264.002487,77,20.266796
-378.411087,77,20.308473
-111.61615,65,20.364617
-310.847783,58,20.408589
-404.602602,124,20.49853
-120.306028,65,20.550111
-465.115586,82,20.608908
-264.253569,101,20.649844
-389.433881,121,20.750122
-219.774424,72,20.809062
-215.666541,97,20.866513
-234.83664,70,20.933654
-62.69922,77,21.449842
-241.971475,78,21.500174
-339.900478,112,21.583552
-314.829592,92,21.640345
-368.646235,102,21.691747
-404.150424,93,21.749976
-99.915615,121,21.836274
-683.225984,115,21.933023
-117.536393,63,21.95
-44.470287,70,21.983258
-282.867219,68,22.016597
-570.998121,114,22.083149
-215.267145,68,22.140997
-360.033028,63,22.18335
-230.077071,104,22.235053
17.847241,99,22.299775
-161.71962,86,22.366727
-117.198204,87,22.416669
-178.993748,96,22.483087
-110.800975,92,22.566392
-159.256269,104,22.649889
-183.365532,88,22.71683
-462.239738,94,22.799906
-255.013854,91,22.86663
-503.831151,99,22.916405
-238.106633,93,22.982993
-222.9511,62,23.034821
-254.447046,94,23.10004
-83.274537,77,23.149767
-245.350542,94,23.216373
-337.000429,69,23.266381
-144.119833,88,23.3369
-68.516903,82,23.386427
-134.775477,63,23.449083
-136.704427,102,23.515945
-291.773952,76,23.566306
-155.89795,81,23.643132
-144.815732,88,23.70012
-79.984896,61,23.749641
-115.759385,78,23.799993
-448.617243,90,23.866337
-103.602933,68,23.91668
-130.580597,75,23.95002
-289.284632,92,24.036434
-500.133964,78,24.085407
-22.436501,106,24.136845
-147.520634,127,24.21666
-452.331753,109,24.266438
-75.291893,93,24.31636
-133.311239,91,24.366593
-384.685584,81,24.416697
-44.881091,119,24.500006
-124.698412,91,24.569669
-157.497045,97,24.632635
-233.53471,94,24.683119
-371.898533,90,24.749618
-283.415542,89,24.81646
-254.456815,81,24.886339
-93.322053,60,24.916646
-94.771317,87,24.98628
-220.704103,85,25.016308
-314.461884,132,25.132635
-87.863236,115,25.202873
-314.066219,101,25.266444
-36.462633,79,25.312114
-104.08676,71,25.349813
-89.90864,89,25.419758
-141.986877,101,25.483037
-318.663663,102,25.566646
-279.9186,92,25.61641
-594.275003,104,25.688976
-69.413163,81,25.749921
-93.007835,63,25.783142
-243.860711,77,25.816619
-230.977057,69,25.866516
-260.186138,81,25.916421
-438.60878,112,26.016364
-380.948555,79,26.057787
-447.635259,96,26.116383
-435.303189,102,26.166348
-322.586347,64,26.199867
-353.37455,109,26.283148
-14.399487,70,26.316701
-121.790298,86,26.383029
-206.620035,98,26.449715
-265.494369,74,26.499864
-165.578613,110,26.586521
-356.071207,100,26.649709
-421.938737,85,26.716483
-83.051468,86,26.783319
-188.208691,67,26.836912
-151.329055,132,26.883299
-109.037537,70,26.939157
-145.211214,95,27.018028
-219.379014,85,27.049814
-543.706442,92,27.133909
-473.600635,90,27.183351
-126.637134,76,27.218951
-235.870679,72,27.266529
-72.461011,100,27.336455
-85.661544,66,27.399903
-416.062636,92,27.465092
-125.309437,96,27.540591
-50.391885,79,27.589875
-368.01767,111,27.641003
-225.293389,79,27.666651
-139.792505,101,27.752341
-91.30424,73,27.79965
-126.406401,72,27.846847
-248.149225,88,27.900078
-71.427192,66,27.949686
-147.522919,119,28.044963
-357.30938,85,28.104584
-265.5755,102,28.445402
-151.628234,111,28.502377
-308.503901,99,28.583092
-222.947421,102,28.640181
-258.633484,97,28.693608
-292.245422,99,28.766278
-416.662482,109,28.846798
-538.975035,103,28.916942
-348.155691,96,28.982993
-338.985522,77,29.041848
-266.756136,118,29.118611
-114.458823,119,29.199683
-104.064655,67,29.236599
-206.057774,87,29.317861
-325.769953,115,29.395391
-99.252053,64,29.428263
-97.313504,113,29.50371
-157.685248,132,29.599647
-351.396939,86,29.670036
-104.933842,98,29.739015
-265.823533,99,29.799711
-196.619405,78,29.869021
-147.460033,90,29.919515
-346.616154,101,29.999583
-118.82453,79,30.045925
-147.169745,82,30.086471
-93.674269,69,30.140921
-394.473447,114,30.219637
-129.17287,93,30.283137
-228.853164,77,30.347985
-214.301928,110,30.419582
-245.455205,135,30.499841
-469.549864,74,30.566364
-110.851473,58,30.615205
-111.243893,71,30.649984
-433.968512,73,30.720048
-297.109536,98,30.783149
-477.506357,96,30.849841
-123.264653,110,30.919935
-312.699205,109,30.999723
-153.825201,76,31.072594
-456.577268,85,31.120296
-122.262188,80,31.183135
-342.585846,90,31.246774
-343.444725,92,31.283513
-146.799613,105,31.343929
-374.420318,136,31.421105
-225.740602,78,31.488967
-519.472715,105,31.549888
-198.855752,85,31.616329
-287.115907,116,31.699795
-387.744587,63,31.735297
-320.103369,89,31.766511
-221.981805,61,31.811605
-184.957896,90,31.850054
-242.801574,113,31.949882
-279.027895,71,31.98315
-229.650501,83,32.045741
-283.645789,90,32.121478
-127.331845,65,32.152589
-115.196433,79,32.182994
-229.821257,86,32.241992
-92.446001,66,32.266544
-380.73295,133,32.369327
-277.33464,85,32.421682
-241.915114,73,32.466825
-136.744316,60,32.499625
-278.4638,78,32.576565
-71.233147,64,32.615118
-32.882295,110,32.699687
-361.906675,97,32.766675
-125.841462,77,32.8327
-205.061386,61,32.852959
-86.586002,73,32.883022
-128.704929,84,32.940846
-197.40664,99,33.022913
-207.765726,61,33.053341
-313.813819,94,33.133911
-172.710388,69,33.166278
-49.278046,71,33.238811
-144.524208,87,33.299858
-417.002041,103,33.383144
-614.164316,92,33.423385
-138.880041,98,33.491573
-108.079041,69,33.549889
-534.917504,87,33.603598
-120.342923,72,33.664678
-149.593216,103,33.729684
-239.937881,64,33.74971
-288.541802,119,33.849974
-181.634863,84,33.903674
-521.035391,113,33.966391
-205.993704,73,34.023806
-415.788189,85,34.082978
-250.068474,79,34.128212
-74.918547,73,34.166453
-235.511941,89,34.235786
-276.199706,123,34.318916
-432.230895,77,34.383014
-104.607252,77,34.419914
-162.404877,81,34.466465
-326.725714,70,34.536706
-115.183817,67,34.566441
-443.904559,89,34.61041
-500.226533,91,34.682989
-135.672064,81,34.735858
-518.654227,87,34.799684
-212.137252,83,34.853019
-222.108316,75,34.901881
-95.419853,77,34.94086
-237.100669,98,35.015086
-147.213537,108,35.087512
-406.281672,78,35.39064
-288.884736,104,35.466128
-101.889432,81,35.516615
-331.782139,110,35.586664
-57.735633,97,35.666169
-242.837161,113,35.733953
-186.373322,114,35.825196
-147.984778,88,35.866681
-115.085847,64,35.911099
-234.013528,67,35.966242
-311.473138,94,36.034923
-122.793244,80,36.103807
-228.144614,78,36.1452
-526.862583,71,36.183043
-144.940202,72,36.249715
-374.414086,87,36.316344
-256.261315,103,36.390836
-180.570152,83,36.44969
-174.372087,117,36.526211
-145.059576,81,36.566346
-482.151452,107,36.643875
-208.844849,87,36.716501
-334.141101,65,36.76968
-252.880666,96,36.826729
-128.419559,114,36.916578
-174.617038,86,36.949699
-160.359273,79,37.016323
-173.258748,73,37.066297
-204.307757,73,37.127287
-345.182857,88,37.202384
-100.971773,134,37.303823
-239.8824,81,37.350145
-126.258814,70,37.399676
-424.121001,86,37.449788
-236.116156,82,37.524314
-121.432077,90,37.566352
-185.272047,132,37.666289
-142.158686,68,37.720114
-569.405788,125,37.799793
-147.655159,92,37.866296
-253.9346,102,37.936381
-368.346552,81,37.999653
-380.711034,121,38.083222
-95.87005,103,38.165878
-106.450762,100,38.246737
-211.979194,77,38.283017
-252.525823,68,38.344939
-242.50076,110,38.41625
-469.709288,97,38.497149
-383.580377,82,38.547841
-312.37925,108,38.616536
-439.988435,74,38.665894
-172.644217,102,38.757625
-83.339032,65,38.799721
-139.873801,109,38.866699
-281.344088,101,38.949957
-287.259069,101,39.002779
-98.655682,63,39.064778
-177.813896,64,39.099842
-57.651442,120,39.166642
-227.916451,92,39.239796
-223.048371,85,39.299748
-504.217558,102,39.366509
-486.299028,93,39.435962
-79.444944,127,39.516465
-181.564419,59,39.549692
-510.353308,86,39.599617
-183.839117,79,39.636553
3.393142,152,39.757712
-101.831454,107,39.832671
-227.558281,107,39.883398
-286.397341,83,39.944729
-126.758091,89,40.016308
-338.202055,83,40.069967
-59.027076,99,40.147003
-437.077672,107,40.213785
-97.851357,84,40.266321
-142.055312,67,40.314952
-93.261979,109,40.399901
-202.589548,74,40.449533
-304.511095,102,40.528784
-391.824065,119,40.583238
-397.849404,125,40.652189
-248.425398,89,40.683067
-229.656773,110,40.766562
-281.922435,97,40.840807
-400.844864,109,40.909908
-156.595411,62,40.950068
-206.263913,103,41.034952
-385.734062,98,41.083156
-356.160495,106,41.172586
-107.945517,62,41.216268
-430.518625,86,41.282849
-141.085529,82,41.344863
-106.178193,69,41.383163
-178.005442,85,41.453866
-181.351803,116,41.516311
-256.407897,91,41.582963
-223.393099,92,41.651933
-293.162828,75,41.682903
-211.449246,89,41.734948
-261.916853,117,41.799757
-104.053744,93,41.849764
-139.692893,85,41.899655
-178.676517,51,41.931908
-209.722036,139,42.032557
6.265017,174,42.149714
-265.517528,75,42.216485
-344.754967,85,42.534251
-254.726378,150,42.640446
-145.526974,80,42.691173
-293.98967,80,42.761197
-157.634188,113,42.834591
-242.036334,87,42.866535
-249.467185,74,42.936388
-218.111157,98,42.999681
-139.436134,71,43.066412
-425.255617,81,43.134351
-53.222674,106,43.199833
-326.049387,104,43.283052
-148.09611,89,43.364854
-143.550403,107,43.44031
-372.973364,91,43.483114
-194.720399,98,43.565887
-168.29566,87,43.616266
-299.412404,106,43.699649
-190.372287,81,43.749494
-132.18568,105,43.858287
-200.861188,79,43.903047
