#{"t_start": 1782807191.0806732, "env_id": "LunarLander-v3"}
r,l,t
-42.342894,81,0.016979
-334.239738,59,0.051226
-429.319633,85,0.134364
-152.391305,62,0.200785
-146.19688,108,0.311068
-355.356674,117,0.432113
-452.024114,89,0.516994
-105.302763,95,0.616943
-116.679042,69,0.683996
-87.588121,79,0.750945
-286.396373,57,0.827537
-291.374942,117,0.900662
-122.350871,68,0.966911
-465.730262,96,1.065807
-380.091982,86,1.150711
-222.474224,73,1.216943
-474.574575,93,1.325353
-98.215767,63,1.383785
-171.751066,85,1.440869
-241.925963,129,1.566834
-27.887752,84,1.632125
-277.711914,65,1.675808
-474.532964,96,1.734157
-260.394076,105,1.800535
-412.799101,89,1.867441
-462.159216,103,1.98415
-31.515615,79,2.066823
-165.984278,82,2.150052
-229.985732,87,2.23398
-218.272642,77,2.319962
-210.087995,97,2.415348
-237.136381,102,2.517152
-232.903384,86,2.600397
-126.196378,76,2.667341
-181.245773,105,2.783511
-407.554839,112,2.893491
-283.614091,64,2.957065
-229.345439,81,3.034292
-443.199876,108,3.151414
-112.564627,85,3.234192
-368.2424,100,3.334461
-312.42353,97,3.436007
-207.427617,135,3.517953
-544.944067,86,3.604489
-303.855983,93,3.700298
-86.969727,61,3.767023
-333.885416,62,3.829283
-96.714112,81,3.918014
-211.826251,73,3.983725
-503.308666,104,4.10038
-96.295927,99,4.210314
-332.381652,110,4.316995
-447.154632,109,4.433709
-304.974877,77,4.516986
-239.180045,74,4.58419
-90.047648,77,4.674219
-275.636374,92,4.767522
-221.727536,64,4.833803
-164.825811,76,4.900594
-77.492699,55,4.966976
-312.869071,84,5.055248
-119.721681,67,5.117139
-426.621145,101,5.233954
-177.370174,112,5.355949
-146.631929,60,5.424744
-220.041389,112,5.541575
-121.388815,87,5.60023
-188.418578,71,5.656703
-220.27886,121,5.784103
-103.540235,63,5.8572
-99.160345,74,5.933581
-107.436721,67,6.001061
-223.057474,114,6.117358
-341.408314,138,6.26712
-225.490554,127,6.417352
-359.18022,85,6.501069
-219.907828,62,6.569324
-280.682828,89,6.666948
-379.459296,113,6.793458
-15.683528,97,6.884144
-393.066588,87,6.93572
-367.438913,123,7.017563
-506.461655,116,7.117531
-209.886429,84,7.217061
-462.373478,108,7.333852
-400.729522,90,7.417354
-208.772569,86,7.516994
-365.604071,97,7.617216
-224.790947,118,7.734334
-191.059776,95,7.853004
-292.472049,81,7.933762
-405.426534,106,8.050292
-509.441806,75,8.1022
-269.69839,119,8.216953
-531.706616,100,8.31701
-310.486586,93,8.433694
-289.694778,100,8.534352
-385.823744,109,8.650919
-511.567323,78,8.73257
-133.488136,94,8.832723
-303.163847,122,8.95032
-244.723904,94,9.051094
-203.712041,108,9.17658
-354.823051,84,9.270853
-648.485657,110,9.390888
-346.421717,94,9.484005
-148.400447,138,9.634557
-427.92126,74,9.717443
-152.246754,88,9.816909
-316.706723,124,10.867825
-358.506552,92,10.934685
-383.696537,108,11.019681
-150.397821,121,11.150283
-296.946636,96,11.251131
-348.523115,75,11.333663
-305.941001,89,11.417488
-60.890256,75,11.500324
-180.736859,83,11.583578
-378.711527,91,11.683685
-454.251557,122,11.816902
-489.009083,108,11.936567
-232.710331,82,12.031947
-114.745489,72,12.113661
