#{"t_start": 1782824149.9886472, "env_id": "LunarLander-v3"}
r,l,t
-249.742505,116,0.019341
-123.60791,98,0.077183
-114.626676,81,0.142983
-401.720351,101,0.193932
-92.82463,85,0.252889
-273.205181,107,0.295809
-417.972271,99,0.377255
-209.066674,117,0.459575
-514.013391,106,0.531188
-155.324069,75,0.594868
-440.162087,126,0.660012
-180.149391,102,0.7414
-411.046533,110,0.809547
-403.032294,66,0.849489
-116.613694,96,0.928205
-255.689807,74,0.961512
-311.950509,130,1.045356
-388.495971,94,1.114657
-115.941475,60,1.155355
-89.381244,78,1.194575
-309.777935,81,1.259651
-565.150838,84,1.311611
-470.991758,81,1.392933
-98.766324,67,1.444386
-429.241598,122,1.527919
-279.654397,95,1.578655
-152.679682,72,1.649064
-207.887168,74,1.692884
-391.588861,97,1.727033
-290.888686,67,1.760313
-322.106807,76,1.826676
-91.399558,72,1.878357
-103.305583,73,1.912386
-131.829382,94,1.976572
-162.094961,58,2.010055
-66.60019,62,2.056194
-209.50206,60,2.093406
-356.865151,102,2.160136
-121.541294,74,2.226821
-386.539938,109,2.292938
-266.788547,100,2.376515
-104.426966,67,2.409921
17.550931,98,2.485151
-534.877199,81,2.528648
-108.499051,75,2.582591
-92.533639,89,2.647011
-203.659705,79,2.711121
-117.981288,96,2.761483
-470.725317,109,2.828828
-438.631443,99,2.91231
-253.482086,77,2.945837
-485.137475,88,2.978198
-481.802235,83,3.026572
-153.705067,65,3.059504
-421.667493,76,3.13233
-152.847461,126,3.191958
26.070514,77,3.211505
-465.604215,105,3.304766
-391.935966,121,3.363098
-346.023127,77,3.409547
-493.007712,100,3.478057
-516.55608,80,3.528261
-256.638335,79,3.594084
-265.380855,95,3.659881
-173.771294,68,3.694664
-422.81506,89,3.77934
-372.788773,97,3.843971
-269.64287,77,3.908895
-219.588347,110,3.959642
-73.987966,103,4.044547
-253.747403,85,4.095603
-205.572635,115,4.142875
-329.837619,103,4.228308
-189.933865,116,4.317708
-362.089551,96,4.360223
-365.110271,89,4.412356
-34.426873,86,4.49205
-254.891373,65,4.512566
-175.924351,74,4.578062
-95.401504,77,4.62907
-135.223201,85,4.676968
-7.786066,101,4.761392
-504.335094,90,4.828868
-147.974695,125,4.909971
-163.572551,61,4.959851
-351.015507,111,5.010061
-399.263547,100,5.059888
-52.464585,63,5.109957
-182.370965,76,5.159792
-103.739238,65,5.193204
-268.070896,104,5.246316
-427.304806,85,5.292009
-183.452897,124,5.376628
-319.239149,90,5.442987
-416.066294,110,5.526716
-469.3151,128,5.576199
-309.446925,68,5.609858
-229.028505,64,5.660449
-61.983259,76,5.710011
-336.345539,105,5.789384
-226.181256,86,5.826594
-525.704836,85,5.897968
-316.364513,94,5.960737
-402.633187,71,6.019166
-486.152729,104,6.079287
-154.157238,80,6.112975
-298.796948,80,6.16704
-217.236239,99,6.243947
-560.055637,111,6.312462
-634.193695,98,6.37821
-648.154982,116,6.445248
-221.746116,145,7.375601
-99.171511,78,7.426906
-353.588102,114,7.51188
-280.707854,104,7.577925
-236.916772,113,7.659805
-391.664626,75,7.724295
-365.078631,98,7.777227
-36.366807,116,7.862833
-272.278714,94,7.926207
-368.549335,89,7.963143
-151.84997,110,8.015834
-448.318607,101,8.089247
-265.205296,133,8.170201
-465.848963,87,8.243704
-356.898576,76,8.279634
-599.467024,98,8.343226
-119.114463,75,8.393271
-575.0546,91,8.464338
-217.954445,130,8.564534
-283.649268,61,8.610008
-340.583133,102,8.674597
-494.021618,161,8.794732
-435.076206,81,8.86493
-442.631812,110,8.929691
-62.490739,104,9.006461
-241.327065,110,9.094757
-62.721638,75,9.151618
-336.877016,70,9.184077
-117.83275,76,9.227944
-310.547452,100,9.309864
-331.809447,96,9.355458
-352.316183,119,9.428818
-253.291469,59,9.478311
-62.625814,108,9.544839
-456.724461,72,9.594524
-511.018399,114,9.677574
-75.513064,63,9.711474
-571.517435,104,9.795247
-285.708701,113,9.846324
-472.423186,117,9.910378
-171.504025,93,9.977515
-0.171039,128,10.066428
-565.295742,75,10.132738
-207.532399,72,10.172385
-235.391588,64,10.224477
-224.435603,94,10.278941
-295.585311,65,10.326905
-206.349254,132,10.410135
-546.376016,92,10.47929
-438.920994,106,10.527051
-191.65058,67,10.576671
-376.343284,81,10.643313
-433.687964,75,10.676686
-437.292279,77,10.726372
-308.577398,65,10.780881
-359.357261,84,10.834464
-166.966113,79,10.876954
-606.985485,101,10.951507
-73.167148,85,11.012312
-103.135512,71,11.067008
-305.430043,79,11.128067
-88.110343,69,11.167208
-252.964783,64,11.229291
-208.887899,114,11.294374
-109.642047,84,11.352518
-117.796863,105,11.431196
-235.476578,70,11.480876
-386.910736,125,11.568173
-612.347789,88,11.59504
-385.519541,99,11.645596
-435.783523,90,11.710177
-400.720363,87,11.779235
-246.624472,79,11.84673
-171.500913,74,11.893961
-82.052448,113,11.977235
-139.340031,118,12.0606
-445.460811,86,12.12659
-68.162745,79,12.168313
-79.545349,98,12.245158
-490.852965,78,12.320584
-296.614685,86,12.38181
-631.048632,110,12.44337
-325.01894,117,12.514287
-278.274151,121,12.612886
-247.006056,68,12.668609
-242.662649,72,12.713937
-268.522131,99,12.785285
-300.945815,75,12.843255
-259.741581,83,12.882746
-187.434114,72,12.925277
-259.705731,96,12.991918
-196.123841,99,13.038928
-473.628449,84,13.079191
-300.008555,80,13.11766
33.123062,92,13.158045
-137.820777,67,13.18733
-142.794372,61,13.216463
-251.394494,111,13.287532
-298.639098,86,13.355874
-202.760327,108,13.433665
-244.255865,117,13.489436
-108.931216,107,13.540733
-298.237823,69,13.571106
-199.874657,71,13.605286
-84.56379,137,13.668083
-263.344259,68,13.699656
-308.423311,153,13.780718
-227.576272,128,14.497521
-119.127501,83,14.572619
-327.260346,107,14.651435
-465.565318,83,14.69762
-49.358376,115,14.751926
-19.17921,69,14.78878
-448.762556,121,14.847274
-502.660579,73,14.881117
-236.635295,61,14.910605
-311.845273,76,14.946765
-319.473153,104,14.995723
-150.070478,79,15.038637
-230.624004,75,15.08529
-336.429241,85,15.149801
-200.818104,110,15.237171
-446.584357,85,15.300159
16.125737,86,15.342969
-119.387758,95,15.38847
-447.818668,114,15.442108
-162.875896,68,15.476263
-329.993584,121,15.539668
-129.762436,76,15.580957
-242.61274,78,15.645913
-92.945712,64,15.699612
-307.00733,84,15.765268
-435.117304,122,15.865935
-157.929631,84,15.932609
-259.662799,78,15.99836
-185.39472,101,16.076926
-179.838741,114,16.160446
-533.799734,96,16.231406
-172.955059,89,16.295107
-158.755206,119,16.380115
-188.477547,105,16.446775
-279.420251,85,16.515761
-437.74675,102,16.579337
-238.057568,99,16.659676
-201.27063,68,16.696465
-213.638205,128,16.796561
-410.425844,77,16.861412
-84.117497,102,16.946026
-303.76842,89,17.023651
-112.843491,87,17.077346
-271.507393,111,17.173327
-58.762014,67,17.223738
-218.52065,112,17.294108
-228.225761,109,17.377901
-142.421876,100,17.444163
-323.320943,68,17.494067
-111.053669,61,17.544537
-312.347297,92,17.618777
-573.167605,146,17.721772
-258.429165,64,17.760768
-149.661123,85,17.826338
-373.21095,99,17.895139
-104.105341,64,17.944109
-476.165382,83,17.995524
-147.663108,93,18.064325
-112.653878,114,18.14389
-246.758642,84,18.212841
-462.579192,78,18.267576
-455.156408,76,18.311522
-469.226549,74,18.376438
