#{"t_start": 1782802135.0687082, "env_id": "LunarLander-v3"}
r,l,t
-249.742505,116,0.026345
-123.60791,98,0.105571
-114.626676,81,0.149591
-401.720351,101,0.225254
-92.82463,85,0.277802
-273.205181,107,0.347003
-417.972271,99,0.41634
-209.066674,117,0.480182
-514.013391,106,0.562676
-155.324069,75,0.600287
-440.162087,126,0.685113
-180.149391,102,0.742617
-411.046533,110,0.811084
-403.032294,66,0.859271
-116.613694,96,0.894439
-255.689807,74,0.963964
-311.950509,130,1.037299
-388.495971,94,1.107054
-115.941475,60,1.143411
-89.381244,78,1.181082
-309.777935,81,1.211828
-565.150838,84,1.285234
-470.991758,81,1.351423
-98.766324,67,1.388073
-429.241598,122,1.446857
-279.654397,95,1.504182
-152.679682,72,1.556983
-207.887168,74,1.600847
-391.588861,97,1.651622
-290.888686,67,1.709246
-322.106807,76,1.746173
-91.399558,72,1.802497
-103.305583,73,1.829715
-131.829382,94,1.895953
-162.094961,58,1.949091
-66.60019,62,1.981841
-209.50206,60,2.029801
-356.865151,102,2.097317
-121.541294,74,2.146608
-386.539938,109,2.1956
-266.788547,100,2.275473
-104.426966,67,2.329466
17.550931,98,2.395896
-534.877199,81,2.446642
-108.499051,75,2.47894
-92.533639,89,2.545784
-203.659705,79,2.596265
-117.981288,96,2.646536
-470.725317,109,2.739932
-438.631443,99,2.779432
-253.482086,77,2.85443
-485.137475,88,2.911638
-481.802235,83,2.97996
-153.705067,65,2.99497
-421.667493,76,3.052585
-152.847461,126,3.12874
26.070514,77,3.186551
-465.604215,105,3.245865
-391.935966,121,3.311946
-346.023127,77,3.379646
-493.007712,100,3.452001
-516.55608,80,3.495918
-256.638335,79,3.562466
-265.380855,95,3.615192
-173.771294,68,3.649579
-422.81506,89,3.696064
-372.788773,97,3.781195
-269.64287,77,3.812176
-219.588347,110,3.896178
-73.987966,103,3.961323
-253.747403,85,4.02278
-205.572635,115,4.093275
-329.837619,103,4.144961
-189.933865,116,4.228256
-362.089551,96,4.290975
-365.110271,89,4.362042
-34.426873,86,4.409492
-254.891373,65,4.446606
-175.924351,74,4.500489
-95.401504,77,4.560976
-135.223201,85,4.6197
-7.786066,101,4.679817
-504.335094,90,4.732183
-147.974695,125,4.826446
-163.572551,61,4.859929
-351.015507,111,4.953256
-399.263547,100,5.032627
-52.464585,63,5.065962
-182.370965,76,5.111679
-103.739238,65,5.166723
-268.070896,104,5.228339
-427.304806,85,5.301502
-183.452897,124,5.39502
-319.239149,90,5.442332
-416.066294,110,5.493492
-469.3151,128,5.607322
