#{"t_start": 1782756530.1495225, "env_id": "LunarLander-v3"}
r,l,t
-203.711788,75,0.011003
-263.993312,65,0.037284
-470.98246,86,0.087079
-515.625634,108,0.15415
-501.453629,76,0.202981
-233.581932,93,0.297405
-305.221743,71,0.372407
-168.994689,82,0.423244
-402.714687,66,0.465624
-182.42102,76,0.522593
-218.381351,82,0.571075
-172.92061,72,0.648293
-415.611647,95,0.752589
-134.318146,70,0.830623
-327.467182,94,0.900095
-389.077288,75,0.956603
-245.804299,82,1.013111
-144.101609,71,1.088655
-235.579688,95,1.195628
-139.591445,89,1.269877
-69.841757,69,1.345056
-538.355679,98,1.444213
-346.437363,88,1.525284
-28.477539,70,1.570524
-180.222649,75,1.620428
-488.328948,97,1.720135
-63.228067,93,1.824282
-356.345485,95,1.910036
-481.263531,99,2.007352
-281.274955,73,2.066791
-377.928502,91,2.151152
-98.53388,71,2.196795
-401.340596,68,2.23961
-127.137311,114,2.317652
34.548468,85,2.413591
-299.23363,84,2.487088
-517.832863,86,2.55389
-76.1953,66,2.596209
-428.111776,96,2.656173
-470.952766,88,2.720071
-90.698115,71,2.761261
-157.183976,67,2.822407
-96.523555,69,2.869039
-485.058564,91,2.955073
-82.757573,59,2.99325
-398.188173,106,3.109733
-203.582564,128,3.229345
-72.243445,87,3.287745
-548.609424,110,3.394214
-114.937586,76,3.469353
-470.415324,108,3.593147
-167.832958,59,3.660285
-530.024503,79,3.721173
-90.078955,69,3.766514
-195.371748,73,3.816358
-122.52849,104,3.885899
-142.245717,102,3.954066
-209.064359,117,4.03002
-32.676592,89,4.088529
-260.181515,93,4.148283
-93.860534,60,4.188449
-522.442844,114,4.26047
-181.878173,108,4.331772
-260.090239,104,4.412807
-235.382258,94,4.522828
-263.861647,90,4.583101
-478.966687,114,4.65719
-103.183088,59,4.696571
-106.177746,75,4.741264
-165.490943,110,4.813241
-229.913483,127,4.910043
-505.893233,79,4.9745
-211.329877,70,5.058703
-105.900816,106,5.164878
-264.066783,92,5.231845
-409.712924,73,5.286148
-240.422449,126,5.366095
-266.629359,77,5.416089
-148.876045,71,5.462314
-40.676626,82,5.517307
-278.523729,84,5.571839
-112.512902,58,5.614711
-237.790176,122,5.758984
-220.19412,74,5.828995
-182.370162,67,5.885878
-568.785307,108,6.009362
-108.08723,89,6.112008
-452.754467,96,6.22487
-217.550884,102,6.310606
-83.283969,98,6.371608
-237.214832,97,6.455581
-303.619277,102,6.57585
-411.369323,84,6.673706
-210.650221,65,6.746714
-390.837599,63,6.799998
-465.813924,103,6.868985
-141.711556,68,6.925784
-226.604285,85,7.022437
-109.580085,65,7.100089
-432.509382,74,7.156905
-280.277103,104,7.224922
-175.582183,87,7.279201
-164.899066,78,7.330127
-191.919589,73,7.387632
-159.283526,89,7.493246
-166.047887,99,7.610605
3.333451,71,7.693561
-132.040628,112,7.807667
-309.422967,78,7.896294
-191.580096,95,8.002679
-168.279539,108,8.114004
-404.289064,73,8.183208
-507.06664,110,8.252595
-482.606794,110,8.327673
-201.034514,80,8.414153
-272.781317,97,9.27421
-281.379316,90,9.33034
-277.013046,93,9.417086
-188.086274,124,9.550267
-350.555172,77,9.605892
-218.753858,100,9.673045
-87.357127,69,9.718969
-230.164433,92,9.778723
-450.279125,112,9.852751
-347.844373,89,9.914165
-339.103762,112,10.024139
-95.179756,75,10.113525
-510.933373,93,10.191875
-531.207053,96,10.254701
-239.388892,63,10.298108
-193.122706,108,10.371186
-221.709647,103,10.44018
-222.645618,60,10.483735
-96.946955,98,10.547967
-311.006265,86,10.627888
-198.076535,84,10.68631
-113.805524,62,10.736856
-183.620526,114,10.820176
-254.452476,99,10.91842
-286.631184,105,11.023711
-121.261873,75,11.070966
-138.622353,91,11.153086
9.232363,81,11.210543
-593.392392,98,11.3211
-46.35226,72,11.398314
-595.467156,79,11.454409
-180.986072,69,11.498865
-259.125041,75,11.548544
-292.152936,71,11.592148
-163.673733,115,11.668213
-206.163377,96,11.745444
-158.761657,77,11.834141
-90.794737,68,11.910807
-175.131605,83,11.973565
-174.153361,62,12.015798
-391.258953,92,12.079853
-305.329341,78,12.15987
-536.837757,71,12.208301
-491.135917,113,12.28018
-323.017105,68,12.325106
-339.9284,108,12.39552
-442.036837,110,12.499812
-357.614658,92,12.60333
-232.284743,106,12.724918
-169.258854,67,12.791586
-111.229996,84,12.875788
-248.494196,64,12.949611
-96.264319,81,13.040617
-90.94043,66,13.105171
-94.672467,89,13.164124
-178.574278,99,13.23003
-368.054236,96,13.318588
-433.565526,100,13.423491
-209.501357,81,13.489153
-203.660968,92,13.550085
-203.1064,83,13.602485
-342.967049,86,13.68652
-322.864861,65,13.761498
-160.464475,124,13.870268
-144.734191,70,13.915268
-360.991735,86,13.969775
-432.674474,80,14.039631
-302.558688,127,14.186985
-222.592033,78,14.2659
-250.071583,111,14.363955
-491.490681,105,14.447548
-314.394788,94,14.534769
-123.664126,100,14.650355
-80.165907,132,14.795048
-378.212794,75,14.881993
-143.466682,114,15.011002
-213.624205,122,15.094198
-439.204783,83,15.174981
-366.205116,89,15.235674
-387.26648,113,15.309671
-115.152783,103,15.414195
-127.42777,64,15.488256
-107.112981,83,15.580312
-59.486277,84,15.664564
-348.453744,63,15.732882
-368.658209,81,15.805223
-477.433475,97,15.866331
-202.151347,129,15.950482
-469.974206,77,16.013957
-231.58905,97,16.114627
-482.556534,91,16.210791
-41.741457,89,16.288017
-138.306072,78,16.367129
-196.086112,104,16.483374
-263.610699,80,16.537966
-163.792399,73,16.584967
-202.367871,95,16.677147
-192.962071,98,16.795107
-512.153368,82,16.855106
-130.017529,110,16.926733
-163.919716,79,16.975528
-487.578101,117,17.071405
-23.313859,89,17.150487
-175.798313,84,17.221874
-465.694505,77,17.308071
-126.625369,71,17.391206
-152.10527,98,17.501575
-340.423159,112,17.608018
-183.886364,88,17.664918
-449.588432,78,17.714427
-352.338763,101,17.78048
-439.162504,72,18.431759
-195.004921,75,18.519752
-80.32696,82,18.584799
-241.740834,111,18.674105
-255.846208,89,18.7561
-525.063473,79,18.816671
-299.67703,112,18.946432
-292.546955,91,19.051632
-358.567945,101,19.125811
-203.019744,91,19.203318
-103.372243,73,19.280386
-423.636873,100,19.394493
-214.30675,67,19.465487
-199.890335,127,19.552857
-146.129787,86,19.613378
-433.988779,71,19.6808
-384.771275,79,19.74075
-170.767268,100,19.826411
-104.871339,75,19.895263
-248.173181,107,19.972495
-75.971417,75,20.024973
-332.948618,107,20.108967
-75.878266,74,20.177041
-431.181642,77,20.262133
-137.416611,105,20.38157
-247.408218,70,20.426578
-129.475418,75,20.476092
-68.846055,90,20.55871
-431.96858,106,20.641813
-376.062999,115,20.710119
-70.418557,91,20.794309
-2.097337,141,20.925939
-335.661717,104,20.996116
-234.177793,82,21.048911
-274.494106,154,21.154178
-115.838961,81,21.209447
-301.881615,109,21.326828
-284.32292,112,21.44464
-337.183633,97,21.509112
-244.945123,96,21.57507
-153.302066,85,21.677295
-399.547945,93,21.76792
-329.370124,78,21.855953
-475.813616,91,21.950598
-334.625777,87,22.040977
-61.471879,86,22.113507
-433.884582,124,22.235135
-333.790183,93,22.336635
-527.135194,89,22.429234
-602.168348,78,22.504373
-51.854518,67,22.584066
-426.476418,84,22.683379
