#{"t_start": 1782400376.2518675, "env_id": "LunarLander-v3"}
r,l,t
-125.968256,77,0.01198
-211.853305,64,0.047005
-171.32448,76,0.099745
-77.699913,73,0.133685
-408.317322,119,0.216768
-123.740376,85,0.285791
-114.775795,115,0.365381
-272.935189,124,0.416966
-250.473077,96,0.48353
-21.685687,115,0.532821
-137.112128,114,0.599843
-370.091931,126,0.64991
-288.942967,108,0.733125
-134.477106,109,0.812212
-211.18962,85,0.847254
-176.437206,67,0.873752
-106.106788,71,0.9
-101.799891,76,0.941851
-190.590918,85,0.966683
-81.550852,113,1.054177
-393.769773,115,1.116752
-104.691643,145,1.200168
-152.008454,82,1.233696
-147.027641,88,1.304217
-205.677928,131,1.367243
-237.008413,73,1.420476
-107.497403,98,1.479685
-42.850681,131,1.565296
-78.41753,113,1.616748
-167.713512,79,1.683433
-104.732752,69,1.716701
-88.020652,85,1.766487
-309.402324,136,1.833425
-210.237092,98,1.883205
-104.240042,72,1.914011
-195.584535,99,1.958007
-95.541802,63,2.004629
-331.791133,108,2.065344
-160.27666,103,2.100284
-229.383285,86,2.172918
-85.812606,149,2.263964
-256.379421,84,2.299992
-150.27906,104,2.366729
-259.376305,112,2.400115
-417.904909,106,2.483577
-111.059986,124,2.543765
-211.161334,82,2.566746
-103.422507,76,2.616704
-365.291438,115,2.683277
-474.602569,104,2.737916
-102.915427,76,2.7662
-82.674612,121,2.833447
-97.446716,63,2.865542
-116.768908,76,2.883166
-107.735511,80,2.916776
-124.599111,84,2.980021
-32.088422,97,3.033382
-208.395704,81,3.083355
12.939476,1000,3.633648
-121.280242,124,3.700382
-55.019183,125,3.750032
-440.159937,100,3.80005
-349.771005,81,3.850147
-82.265545,76,3.900001
-306.344952,102,3.966955
-125.682834,101,4.016782
-76.462343,63,4.042065
-326.971981,106,4.083529
-105.713944,68,4.100147
-134.104324,87,4.154737
-57.967528,59,4.20006
-134.054679,110,4.252711
-265.223051,83,4.283516
-126.379806,119,4.347765
-186.729848,117,4.416882
-284.564513,82,4.450121
-265.508896,124,4.533285
-187.293156,76,4.566636
-172.719571,62,4.600307
-177.410215,90,4.66704
-238.524211,91,4.717162
-171.335471,103,4.766995
-259.283952,97,4.833328
-146.060877,77,4.883594
-224.353073,85,4.917552
-142.585206,132,5.017878
-163.498567,81,5.049967
-111.376802,76,5.08389
-193.697161,122,5.150093
-211.299831,111,5.221647
-322.595351,78,5.265451
-118.571263,97,5.336011
-58.99704,77,5.366356
-252.96344,82,5.399996
-236.847201,126,5.46636
-94.044775,76,6.283865
-144.244536,91,6.349084
-211.725732,110,6.419476
-136.304297,82,6.475781
-108.694794,79,6.53385
18.816285,103,6.583486
-159.777535,94,6.650151
-187.734325,87,6.703736
-217.871395,132,6.750054
-149.657699,98,6.800061
-72.845624,59,6.820355
-112.571844,68,6.850215
-75.380735,68,6.867097
-290.26597,74,6.920816
-197.248106,105,6.983414
-165.658532,117,7.06694
-165.892313,141,7.136089
62.182703,1000,7.726813
-68.064184,79,7.771454
-200.989042,112,7.817129
-63.536889,66,7.866705
-215.49377,134,7.933354
-118.192934,68,7.99369
-390.761413,113,8.050338
-184.495368,111,8.10181
-124.599131,70,8.133456
-113.073319,68,8.183461
-99.845874,77,8.233655
-108.038405,119,8.318497
-119.641408,129,8.36685
-126.786988,116,8.450332
-126.404625,97,8.50065
-372.41149,86,8.533455
-107.340613,111,8.567056
-109.085268,58,8.600296
-315.964145,106,8.643639
-141.587432,94,8.685988
-171.427084,128,8.766859
-249.538997,127,8.823091
-136.434594,89,8.883823
-105.239603,75,8.931264
-123.375292,69,8.966897
-129.061889,107,9.033378
24.348544,82,9.08338
-375.795553,94,9.150589
-150.277061,102,9.200259
-223.775539,85,9.250082
-129.599908,80,9.300299
-154.440505,71,9.333609
-67.379955,95,9.386073
-199.95624,100,9.423364
-84.104689,70,9.467094
-146.071793,119,9.543868
-188.174587,108,9.59981
-161.721823,70,9.65044
-294.938752,111,9.700328
-132.545534,100,9.767
-88.126202,82,9.833765
-122.402972,115,9.883544
-140.701665,59,9.923415
-166.271323,86,9.965439
-216.992677,84,10.016709
-165.525007,105,10.083936
-205.455594,67,10.135428
-395.243713,107,10.199133
-155.430459,124,10.287825
-147.643086,91,10.334058
-167.882883,71,10.354497
-80.182579,80,10.404001
-166.866702,93,10.466772
-8.250781,117,10.516979
-110.202329,78,10.554068
-211.727907,111,10.633564
-164.368852,107,10.71259
-96.462956,66,10.746282
-123.362862,113,10.830523
-221.17728,111,10.87046
-151.470425,99,10.924473
-117.483442,77,10.980232
-164.163108,80,11.02452
-126.540963,118,11.104012
-96.652827,115,11.165883
-69.19795,164,11.267057
-134.900352,72,11.304414
-88.699132,92,11.36658
-220.637966,100,11.417006
-117.802814,107,11.484025
-174.077126,118,11.55018
-164.837993,93,11.620545
-240.707974,97,11.683496
-231.612085,115,11.750427
-99.63294,105,11.816597
-222.659855,76,11.866569
-143.895173,86,11.900421
