#{"t_start": 1782655020.715588, "env_id": "LunarLander-v3"}
r,l,t
-89.425065,108,0.013358
-127.02404,86,0.040614
-206.232533,67,0.090432
-301.098991,76,0.140495
-395.794266,70,0.178016
-381.079229,100,0.230448
-393.33628,87,0.284385
53.570959,1000,0.910483
-65.068014,73,0.95704
-134.940818,71,0.990452
-654.432225,99,1.057127
-162.617579,96,1.157101
-285.859809,104,1.226725
-429.130875,115,1.31767
-179.123057,60,1.356975
-717.354338,109,1.429575
-610.04562,130,1.518161
-506.691373,120,1.573831
-366.736016,101,1.656763
-504.737328,104,1.69044
-134.072404,124,1.748584
-195.437416,79,1.773756
-418.93926,72,1.840312
-124.208324,59,1.876759
-34.42459,87,1.907029
-423.58041,108,1.990352
-388.636903,78,2.040408
-126.112637,88,2.093777
-278.072829,83,2.150867
-283.604341,101,2.224612
-143.048941,87,2.263148
-301.358038,69,2.290407
-112.203203,77,2.3335
-186.771791,119,2.419082
-308.298435,64,2.469549
-253.754176,64,2.507096
-201.17318,75,2.540656
-478.976492,100,2.590431
-277.503468,66,2.627448
-103.159,58,2.673871
-172.331131,111,2.740077
-510.59606,98,2.807154
-146.463087,105,2.857239
-300.751581,75,2.919649
-186.923555,71,2.957247
-58.559459,83,2.990622
-548.759541,73,3.040639
-340.416372,81,3.090754
-481.172007,109,3.144481
-199.972194,93,3.190495
-77.847585,83,3.255471
-30.698955,113,3.307023
-483.134651,77,3.340473
-175.826437,62,3.359715
-88.267587,94,3.440444
-596.576879,85,3.476182
-159.242039,66,3.529567
-228.92716,67,3.576836
-118.618269,92,3.607056
-189.535149,70,3.657238
-354.832355,119,3.743109
-275.354483,129,3.806977
-372.173871,139,3.910173
-119.700288,112,3.957071
-241.700298,101,4.039562
-432.444634,81,4.073762
-530.840296,88,4.126986
-458.082863,102,4.190422
-240.598355,72,4.257307
-291.356863,80,4.290452
-593.700698,120,4.357126
-205.037951,114,4.427618
-375.90346,91,4.473799
-160.398852,81,4.507553
-101.23797,81,4.572321
-204.950501,71,4.607271
-473.975017,84,4.656603
-394.990641,121,4.738862
-369.648236,93,4.801005
-214.893919,105,4.857112
-440.143161,128,4.924837
-417.484703,78,4.973822
27.244995,84,5.031821
-164.672247,78,5.086054
-254.525404,78,5.1234
-215.062465,152,5.217455
-90.227085,79,5.275478
-476.054292,117,5.340723
-402.572975,102,5.423471
-292.512911,114,5.473912
-99.459969,108,5.538749
