#{"t_start": 1782404910.8785613, "env_id": "LunarLander-v3"}
r,l,t
-119.128512,77,0.008384
-206.109051,64,0.03599
-165.004123,76,0.079947
-71.649064,73,0.130577
-392.807358,119,0.178438
-115.846748,85,0.221878
-103.642619,115,0.296244
-256.461155,124,0.364531
-241.726773,96,0.415078
-9.537237,115,0.464508
-123.84607,114,0.514541
-354.738413,126,0.581231
-279.590148,108,0.650115
-123.163015,109,0.714567
-203.064005,85,0.764763
-170.8946,67,0.81453
-100.163942,71,0.850226
-94.324063,76,0.879323
-181.472494,85,0.933837
-68.643866,113,1.003915
-379.744611,115,1.08115
-84.8719,145,1.146369
-144.115143,82,1.181014
-138.76297,88,1.231827
-188.893214,131,1.321283
-229.304027,73,1.364513
-98.107282,98,1.415871
-28.338494,131,1.50283
-68.217853,113,1.564439
-160.950964,79,1.630669
-98.858926,69,1.647674
-80.99521,85,1.7144
-291.883694,136,1.781111
-200.497888,98,1.841933
-97.983743,72,1.881167
-185.659451,99,1.947634
-90.413561,63,1.9976
-317.110488,108,2.047839
-148.668637,103,2.097665
-220.0567,86,2.164447
-68.943096,149,2.238081
-248.075658,84,2.293216
-138.790931,104,2.347817
-392.319538,130,2.430979
-40.765912,127,2.499716
-496.340765,107,2.56391
-95.185385,104,2.647259
-95.153079,74,2.680748
-121.118346,121,2.730649
-120.669916,91,2.766965
-322.455016,102,2.810342
-132.898728,73,2.855766
-118.874358,71,2.897553
-158.32689,86,2.947871
-196.125098,109,3.029981
-125.832406,73,3.064346
-92.414996,69,3.100392
-155.307766,128,3.181063
-102.863395,88,3.214317
-146.134624,114,3.264529
-212.459775,108,3.314459
-53.503064,69,3.364562
-117.845267,81,3.417094
-112.983724,81,3.447841
-112.6689,92,3.481121
-134.772547,75,3.517089
-146.008716,93,3.566018
-81.934139,70,3.619301
-111.691662,111,3.681225
-232.486765,92,3.747682
-57.830006,69,3.781118
-347.863685,117,3.864647
-92.768405,78,3.898695
-394.934808,113,3.981226
-102.063079,120,4.064328
-209.375375,73,4.099397
-204.922064,107,4.167496
-121.965286,83,4.233199
-121.016281,69,4.247937
-175.944628,98,4.326349
-113.739534,117,4.380955
-70.624613,118,4.46446
-294.776251,117,4.547631
-278.577917,57,4.583531
-77.471902,112,4.657525
-141.840911,92,4.700782
-162.579726,96,4.748022
-79.771579,60,4.794649
-240.05871,72,4.848037
-230.110899,145,4.926012
-191.064278,118,4.993217
-294.762211,94,5.047724
-208.798089,65,5.097623
-140.271816,71,5.11731
-139.483885,120,5.166644
-118.431914,122,5.247345
-196.454984,86,5.297796
-208.984158,93,5.347501
-352.971898,136,5.398816
-126.59194,123,5.481345
-370.473301,141,5.564595
-135.735784,124,5.64789
-92.962101,138,6.464703
-150.539466,132,6.544295
-122.552915,79,6.5816
-210.507437,129,6.664672
-2.150265,98,6.744007
-104.507542,95,6.78115
-120.208413,72,6.816708
-143.305238,133,6.898402
-62.754185,70,6.947739
-284.983013,83,6.99776
-212.863585,102,7.064454
-135.136544,98,7.098122
-146.796044,107,7.164354
-203.529412,75,7.214338
-124.078573,60,7.247863
-46.598634,87,7.314178
-125.187314,70,7.351017
-113.051891,81,7.396812
-188.849249,85,7.44794
-92.203985,102,7.513103
28.699259,74,7.547856
-99.60925,119,7.632082
-59.968574,85,7.6938
-224.177286,120,7.781182
-161.125485,95,7.844849
-240.254608,119,7.898816
-86.605541,104,7.979841
-192.339103,110,8.043821
-123.541869,104,8.107644
5.979332,69,8.136977
-203.637975,124,8.197746
-30.034752,132,8.28119
-95.039895,88,8.344591
-63.91323,65,8.381208
-144.933978,73,8.414392
-187.945864,104,8.464572
-453.675717,129,8.545863
-56.839537,107,8.616951
-125.93777,97,8.680717
-91.430943,101,8.747844
