#{"t_start": 1782656417.7057223, "env_id": "LunarLander-v3"}
r,l,t
-249.742505,116,0.039119
-123.60791,98,0.10699
-114.129609,81,0.180619
-376.504513,101,0.286549
-95.80795,80,0.330381
-116.461836,92,0.380449
-175.406035,66,0.445878
-84.325384,101,0.531054
-198.296749,63,0.601833
-182.202022,71,0.676764
-294.306024,84,0.730559
-449.952883,105,0.830514
-188.107473,66,0.897252
-23.022199,85,0.963378
-35.146791,105,1.03047
-528.50804,89,1.113926
-390.141205,103,1.183137
-206.894725,72,1.260207
-321.456443,88,1.319604
-292.890152,82,1.398648
-335.968637,70,1.46585
-348.603107,87,1.535641
-102.013429,107,1.630046
-543.724288,72,1.706582
-126.533464,122,1.797847
-98.024294,67,1.863789
-149.311692,102,1.948845
-18.073871,68,1.981476
-387.670269,93,2.049769
-375.422143,95,2.147243
-215.341749,100,2.216427
-402.905845,84,2.280384
-382.970746,88,2.355574
-251.800686,108,2.446665
-251.387832,82,2.513747
-401.704518,105,2.585861
-659.789565,103,2.685864
-140.391291,88,2.733557
-201.602181,80,2.799103
-187.618733,79,2.882153
-140.289649,68,2.943181
-142.919937,126,3.05084
-394.254218,126,3.147843
-146.644556,68,3.200641
-227.627806,117,3.313373
-444.219287,79,3.380385
-240.017296,105,3.462759
-469.208127,100,3.53041
-138.774566,63,3.6033
-356.136969,78,3.647026
-586.56195,104,3.731978
-236.012575,87,3.813895
-153.802073,66,3.882153
-391.181398,96,3.947046
-205.172022,92,4.029136
-249.447724,71,4.08053
-62.639793,106,4.180615
-278.057951,96,4.263842
-241.715685,79,4.336584
-146.476864,89,4.397088
-103.492575,86,4.480528
-200.333505,113,4.549817
-202.888792,110,4.609938
-110.28115,81,4.647155
-37.677235,126,4.733965
-551.615154,78,4.813838
-375.146458,100,4.897167
-209.6262,94,4.963956
-9.822164,85,5.045557
-381.894381,87,5.113393
-366.04773,87,5.192592
-288.317701,130,5.27788
-142.285079,89,5.330564
-232.460124,85,5.413357
-466.352838,85,5.484149
-217.752693,90,5.580118
-487.500226,109,5.646805
-155.40994,96,5.713886
-257.072724,93,5.800602
-121.183588,74,5.863974
-202.76028,61,5.917866
-171.328362,76,5.99677
-120.477737,89,6.063738
-291.624799,122,6.146819
-335.7467,105,6.246798
-130.414949,74,6.296813
-332.140534,83,6.380477
