#{"t_start": 1782754115.3469195, "env_id": "LunarLander-v3"}
r,l,t
-139.22615,110,0.017335
-116.330974,73,0.079394
-93.045692,131,0.158457
-116.235416,126,0.253354
-173.555433,130,0.348135
-301.782941,106,0.418144
-118.846993,64,0.458853
-192.925156,91,0.522162
-306.282204,93,0.58535
-370.26046,96,0.648906
-84.912167,71,0.696319
-105.97398,84,0.759543
-97.932426,59,0.807064
-110.579948,85,0.854399
-332.491087,106,0.933754
-317.971426,85,0.997042
-217.376748,64,1.044516
-94.039852,61,1.076173
-225.211644,119,1.155141
-192.149658,95,1.234579
-215.37202,87,1.282054
-226.437067,95,1.361037
-314.81837,146,1.455871
-222.543331,88,1.520732
-267.227379,150,1.621082
-431.336311,108,1.772444
-121.683592,108,1.852079
-109.89835,119,1.931092
-345.589209,98,1.994339
-121.084539,89,2.057616
-282.839307,94,2.122419
-114.173507,98,2.200292
-270.090373,108,2.279639
-150.737323,69,2.32708
-147.670131,76,2.374495
-249.841862,88,2.438076
-122.77846,87,2.501244
-138.990334,129,2.596162
-255.077657,127,2.691079
-330.841548,126,2.770471
-96.724311,68,2.824115
-64.486904,124,2.912848
7.986751,71,2.960343
-113.631483,96,3.02473
-2.428217,119,3.118903
-173.277324,73,3.166274
-122.509719,133,3.26115
-117.576922,122,3.356397
-96.636167,121,3.435443
-97.279527,83,3.498548
-194.672959,117,3.577598
-148.937011,72,3.626179
-122.790395,68,3.672866
-367.297424,104,3.751974
-447.540816,79,3.815173
-321.491328,80,3.862666
-136.014411,72,3.926883
-264.515866,96,3.989474
-90.863643,73,4.036947
-167.445905,97,4.115952
-261.788635,98,4.179226
-82.994051,70,4.2273
-122.394145,131,4.3276
-74.950889,71,4.369421
-344.660652,80,4.432655
-70.827862,86,4.495877
-185.583628,106,4.574835
-184.55154,100,4.638146
-79.981093,60,4.685463
-151.710389,64,4.733198
-240.533489,91,4.796418
-164.381722,75,4.859583
-110.832113,75,4.906931
-406.726035,97,4.970244
-350.324785,97,5.049214
-96.211564,130,5.144187
2.462821,102,5.207383
-117.44898,96,5.286527
-105.914083,107,5.365608
-307.52648,81,5.412958
-361.28693,76,5.476188
-215.680705,120,5.555218
-103.732744,82,5.618456
-75.249571,74,5.665854
-80.866239,145,5.776574
-121.155643,67,5.829231
-212.496515,90,5.887263
-165.471751,115,5.966305
-103.456945,99,6.045273
-174.923578,60,6.092743
-116.452638,67,6.140217
-91.343313,98,6.20343
-33.61618,134,6.298394
-499.583011,118,6.393268
-232.228834,80,6.440701
-103.173261,61,6.488035
-368.571834,109,6.567124
-241.730663,120,6.661936
-184.172328,74,6.709463
-196.520724,71,6.756835
-163.306231,61,6.804257
-78.103297,88,6.867461
-109.7003,60,6.914867
54.462273,1000,9.223439
-115.537092,88,9.286733
-102.39061,80,9.350339
-98.660787,78,9.397735
-171.792304,97,9.47675
-245.53172,114,9.556337
-110.257087,60,9.603777
22.094227,101,9.683283
-240.835351,74,9.736652
-83.086926,100,9.810776
-93.605677,79,9.874183
-101.638528,74,9.921962
-119.43024,74,9.969004
31.817815,67,10.032457
-19.035428,109,10.111764
-231.108964,111,10.191046
-79.332783,81,10.253954
-261.351829,106,10.317401
-202.617114,94,10.396951
-82.597351,88,10.460638
-129.414226,117,10.540514
