#{"t_start": 1782737552.3705997, "env_id": "LunarLander-v3"}
r,l,t
-119.128512,77,0.012
-206.109051,64,0.040179
-165.004123,76,0.091755
-71.649064,73,0.122617
-392.807358,119,0.193652
-121.799037,84,0.243452
-40.987424,74,0.289086
-71.192294,123,0.360843
-118.661734,89,0.401273
-344.959559,96,0.446077
-178.753498,84,0.483157
-74.347058,115,0.55073
-275.323047,104,0.62063
-99.262248,131,0.684869
-118.601342,94,0.730596
-208.470741,90,0.798938
-329.47007,101,0.852777
-155.484832,83,0.905309
-80.950829,56,0.945746
-110.35218,60,0.973941
-89.466142,60,1.004702
-112.230027,102,1.07794
-144.044725,92,1.129377
-182.933275,129,1.219471
-151.358208,107,1.294277
-102.230025,77,1.349968
-217.863804,78,1.386065
-138.992341,129,1.441591
-117.80639,72,1.473003
-112.643232,71,1.522401
-192.173345,85,1.596849
-107.480476,73,1.622807
-157.42989,130,1.708153
-299.33533,75,1.756689
-155.545925,71,1.790513
-174.642286,110,1.872491
-76.890261,72,1.908783
-157.597024,79,1.959357
-122.046019,97,2.026071
-62.726358,68,2.079838
-110.61439,77,2.133423
-343.616681,127,2.229434
-106.942256,68,2.264639
-113.973747,110,2.350792
-236.137419,86,2.392233
-162.08623,59,2.422484
-115.108531,99,2.461394
-341.442354,112,2.528916
-102.476714,117,2.613038
-135.218761,77,2.655577
-175.124975,103,2.740088
-125.222566,107,2.789404
-41.574908,65,2.819999
-129.203567,100,2.855176
-114.36568,82,2.904732
-109.056914,66,2.956143
-107.766264,68,3.006602
-87.979332,73,3.043635
-97.88583,65,3.089964
-240.135577,88,3.155344
-93.589307,71,3.18955
-89.621246,110,3.256263
-127.56703,96,3.32261
-144.051529,85,3.40538
-434.229736,90,3.444484
-191.982811,91,3.505501
-105.280786,84,3.575387
-320.292002,130,3.655016
-171.184606,92,3.713472
-333.88611,97,3.789355
-355.073163,90,3.841207
-180.596174,64,3.893188
-92.833093,72,3.944781
-212.16394,103,4.007853
-82.25464,107,4.0636
-332.701553,94,4.10933
-176.935525,83,4.173695
-93.321887,84,4.227463
-114.083054,116,4.277526
-103.833323,82,4.338175
-276.733758,105,4.392166
-139.082656,85,4.461967
-217.260193,111,4.519539
-179.840162,127,4.601125
-130.588087,105,4.65352
-86.32395,87,4.721805
-36.413174,82,4.772546
-93.541129,64,4.820079
-134.945509,84,4.881695
-205.707132,105,4.945837
-154.973544,82,5.010984
-78.256181,75,5.065361
-78.960388,73,5.098405
-266.264338,75,5.143065
-175.697317,112,5.227292
-207.544602,85,5.272739
-91.62554,90,5.346114
-178.089502,80,5.372478
-360.363731,122,5.454942
-256.055124,79,5.513426
-149.992217,127,5.581543
-92.545375,73,5.623826
-104.299678,71,5.672255
-123.291202,91,5.737194
-89.984969,99,5.790258
-105.402209,69,5.846999
-383.95054,87,5.905877
-305.594496,83,5.976599
-189.26927,119,6.027755
-144.542814,83,6.094148
-303.048916,143,7.006837
-75.139837,104,7.089169
-84.403824,63,7.139224
-136.180594,78,7.173376
-308.059387,75,7.224213
-115.902582,109,7.313954
-294.002283,116,7.381017
-115.72876,72,7.430315
