#{"t_start": 1782744487.4209878, "env_id": "LunarLander-v3"}
r,l,t
-351.158977,123,0.775347
-131.249228,91,0.857407
-207.867674,68,0.91536
-28.939202,100,1.006692
-165.300501,102,1.098079
-402.625129,96,1.177483
-157.741211,85,1.248652
-229.135721,81,1.326963
-119.822411,103,1.420381
-428.380855,88,1.491494
-278.337247,92,1.584861
-163.408793,98,1.678396
-264.038447,112,1.764334
-111.45651,110,1.866069
-93.979865,82,1.925126
-78.390703,88,2.011242
-73.342262,56,2.060974
-294.732723,95,2.151615
-59.130553,60,2.204905
-105.072797,65,2.26212
-288.962165,103,2.351758
-118.153293,72,2.406309
-66.313109,65,2.450925
-157.279449,157,2.570843
-364.896317,111,2.65833
-121.839467,80,2.715036
-142.97054,119,2.811141
-199.969421,74,2.890669
-167.169426,97,2.963579
-187.335672,68,3.032706
-172.662512,73,3.105852
-201.475959,67,3.165127
-259.442759,134,3.291777
-145.724996,98,3.353826
-63.513756,65,3.399372
-122.019734,126,3.522295
-177.696258,114,3.65195
-161.174551,120,3.728304
28.710064,121,3.808071
-157.708249,108,3.916612
-125.52127,90,4.002586
-158.142223,89,4.072841
-189.448981,87,4.139516
-133.930425,120,4.273309
-125.770461,81,4.353336
-270.898312,106,4.444838
-70.584652,110,4.515807
-360.643998,102,4.621116
-165.053246,127,4.708775
-121.197872,80,4.779531
-295.316823,97,4.860421
-362.097957,72,4.93295
-365.856319,93,5.015028
-121.540682,99,5.104923
-226.334067,85,5.163933
-254.657367,98,5.238885
-96.971818,76,5.327018
-275.266696,123,5.437469
-133.47319,98,5.514889
-187.490255,116,5.596963
-144.018243,98,5.679115
-102.298742,91,5.777179
-143.085656,79,5.827528
-363.791677,92,5.930781
-459.527355,88,6.013258
-149.52226,90,6.113686
-436.128566,125,6.192131
-230.336274,111,6.281325
-72.420509,67,6.330138
-122.645028,73,6.412689
-104.777693,113,6.492935
-242.12986,93,6.57601
-163.474156,79,6.644943
-164.754963,74,6.733605
-342.448998,89,6.81752
-304.964039,95,6.923338
-115.02946,75,6.970439
-66.730546,97,7.042203
-66.430077,65,7.101529
-124.037204,65,7.160809
-327.182987,61,7.205292
-159.146409,78,7.279612
-170.573872,138,7.397362
-121.613575,73,7.478755
-315.569975,95,7.572971
-90.134439,130,7.660666
-251.216492,111,7.763631
-456.285674,104,7.863426
-205.631574,118,7.933092
-128.522696,76,8.01206
-143.811972,70,8.085823
-104.385521,81,8.15592
-115.035117,84,8.209784
-363.08526,98,8.306061
-164.338348,95,8.399293
-139.367016,81,8.484787
-316.699118,124,8.563782
-100.717118,109,8.661814
-413.962063,98,8.726807
-117.593284,115,8.855922
-133.986059,96,8.92569
32.629187,86,9.013207
-134.548737,101,9.076331
