#{"t_start": 1782819742.22132, "env_id": "LunarLander-v3"}
r,l,t
-125.968256,77,0.01579
-211.853305,64,0.04744
-171.32448,76,0.110632
-77.699913,73,0.158144
-408.317322,119,0.237132
-129.634718,84,0.284584
-47.049331,74,0.331963
-84.03556,123,0.41097
-127.163836,89,0.477507
-357.705709,96,0.537571
-184.40648,84,0.584986
-86.611351,115,0.663926
-287.604631,104,0.727406
-114.231019,131,0.822214
-128.331413,94,0.885395
-218.1834,90,0.932757
-341.072203,101,1.012199
-163.53268,83,1.059648
-85.865309,56,1.091244
-115.396134,60,1.138572
-94.788116,60,1.179417
-123.015724,102,1.233396
-153.472894,92,1.296532
-199.546966,129,1.391312
-163.323123,107,1.454513
-108.821485,77,1.501951
-225.158804,78,1.565254
-155.389695,129,1.643703
-123.889186,72,1.691126
-118.455303,71,1.738487
-200.003256,85,1.801648
-113.87042,73,1.849102
-172.556521,130,1.928284
-305.8848,75,1.980881
-162.048138,71,2.023069
-188.986562,110,2.102034
-84.046454,72,2.149549
-165.816837,79,2.196987
-130.973378,97,2.260198
-68.31579,68,2.307549
-117.009152,77,2.354992
-358.875355,127,2.44978
-113.55736,68,2.497562
-124.697107,110,2.560766
-243.963437,86,2.623952
-167.403342,59,2.671359
-124.431504,99,2.734608
-355.209572,112,2.81392
-114.714878,117,2.892845
-142.375075,77,2.94061
-187.304552,103,3.019681
-135.892206,107,3.084452
-46.645793,65,3.130659
-139.326201,100,3.193884
-121.679969,82,3.257153
-114.810693,66,3.304526
-114.065059,68,3.351923
-94.196952,73,3.399218
-103.171194,65,3.446563
-249.037674,88,3.509882
-99.764095,71,3.557307
-102.063166,110,3.636317
-136.62004,96,3.699877
-152.984412,85,3.763038
-443.181668,90,3.810374
-200.918991,91,3.886771
-112.348583,84,3.936828
-336.185327,130,4.031673
-181.681437,92,4.09497
-346.951141,97,4.1582
-364.523158,90,4.221405
-186.217996,64,4.268863
-99.482563,72,4.316219
-222.790984,103,4.387892
-93.958987,107,4.458678
-347.287464,94,4.521908
-184.454822,83,4.588409
-100.864778,84,4.632612
-126.947173,116,4.72741
-111.652168,82,4.774825
-289.770697,105,4.853972
-146.897592,85,4.901403
-232.907526,111,4.989505
-194.82238,127,5.07513
-143.719205,105,5.138197
-93.557655,87,5.201391
-42.973668,82,5.264603
-98.705586,64,5.296447
-142.530752,84,5.359648
-216.257003,105,5.438619
-162.911759,82,5.490285
-84.307544,75,5.53346
-85.309062,73,5.596711
-273.338812,75,5.644067
-191.284768,112,5.722479
-214.802554,85,5.785722
-99.512544,90,5.848933
-185.375561,80,5.896329
-376.360864,122,5.975335
-264.22471,79,6.038532
-165.818262,127,6.117562
-98.838836,73,6.164917
-110.042463,71,6.228109
-130.985134,91,6.291288
-101.086362,99,6.354806
-111.592252,69,6.402248
-392.921343,87,6.465435
-316.918583,83,6.5128
-202.273131,119,6.59343
-152.34903,83,6.655373
-320.404108,143,8.298531
-85.690794,104,8.361756
-89.353584,63,8.409218
-143.302506,78,8.472383
-315.209789,75,8.519787
-127.181231,109,8.598232
-310.400294,116,8.677344
-121.757405,72,8.724689
-156.09096,103,8.803669
-77.475567,59,8.835284
-142.47636,84,8.898991
-210.439111,83,8.946149
-191.252499,87,9.009332
-222.726031,95,9.072523
-84.689038,127,9.167362
-282.30643,94,9.230929
-179.88329,68,9.278341
-171.596138,71,9.325687
-155.122226,123,9.404763
-233.059585,83,9.467963
-363.307183,96,9.531101
-230.918803,130,9.625916
-225.132352,112,9.704909
-126.4094,79,9.768112
-144.559407,73,9.815918
-121.399742,97,9.879082
-119.917243,126,9.973893
-145.007759,98,10.037125
-134.552544,60,10.084506
-155.604658,94,10.148166
-259.677967,85,10.211345
-366.194977,98,10.27457
-141.810456,122,10.353618
-114.256648,93,10.417234
12.030482,115,10.503573
-133.489942,76,10.559542
-165.458751,96,10.622813
-47.279604,74,10.670244
-86.118098,64,10.717559
-155.571981,91,10.780719
-207.327709,91,10.843902
-234.683238,116,10.922839
-105.077243,89,10.98616
-102.555531,112,11.065111
-124.226126,69,11.112521
-140.58023,99,11.175732
-241.624786,71,11.223262
-271.929627,99,11.302315
-118.038685,77,11.349795
-322.733713,72,11.406484
-87.185454,104,11.476306
-145.387791,72,11.523627
-137.092822,78,11.571094
-46.402539,65,11.618515
-91.852007,70,11.665912
26.396525,73,11.729137
-95.011318,81,11.776525
-120.827737,67,11.823306
-87.285743,105,11.902358
-139.586273,62,11.949751
-147.501723,111,12.028725
-272.794217,131,12.108822
-125.806114,119,12.202777
-374.506256,102,12.265962
-45.650919,109,12.344996
-67.511425,64,12.39237
-342.19249,92,12.456067
-94.872067,83,12.509628
-333.344056,94,12.566563
-93.287966,57,12.613954
-144.825046,99,12.677085
-349.16327,93,12.740309
-88.868985,70,12.803538
