#{"t_start": 1782803840.228258, "env_id": "LunarLander-v3"}
r,l,t
-151.049285,110,0.026349
-123.099508,73,0.099495
-107.910139,131,0.232738
-130.092619,126,0.358001
-190.097336,130,0.4864
-314.812424,106,0.592834
-123.986391,64,0.658163
-202.868359,91,0.752594
-319.381765,93,0.846243
-382.868066,96,0.945852
-90.612467,71,1.01898
-113.036641,84,1.106215
-102.744901,59,1.166961
-118.098586,85,1.254098
-342.373491,106,1.364685
-326.241208,85,1.44883
-222.913889,64,1.515138
-98.947992,61,1.57592
-240.2502,119,1.702791
-202.251142,95,1.803066
-224.290353,87,1.892396
-235.765019,95,1.996677
-331.016724,146,2.147402
-232.026164,88,2.236433
-288.124325,150,2.386475
-447.458853,108,2.498888
-133.237928,108,2.608238
-123.119832,119,2.730915
-355.339391,98,2.829935
-130.32399,89,2.922666
-291.078772,94,3.01774
-125.114643,98,3.11414
-282.445569,108,3.241275
-157.245469,69,3.316298
-154.391182,76,3.392434
-259.449263,88,3.484115
-131.044275,87,3.573915
-154.51161,129,3.707148
-267.855554,127,3.83946
-313.144812,128,3.96959
-101.427121,68,4.041069
-257.132254,86,4.131646
-269.562063,128,4.263361
-63.245325,119,4.391437
-108.248334,107,4.508951
-86.588972,73,4.58449
-3.022055,85,4.674035
-398.943144,109,4.789436
-71.750081,66,4.858227
-382.680359,86,4.951737
-330.591156,76,5.033829
-120.435945,110,5.155031
-164.572605,70,5.229778
-88.362526,69,5.304016
-124.210738,117,5.426598
-20.632911,73,5.494236
-225.759933,124,5.574085
-148.933326,112,5.642658
-59.230854,60,5.6823
-167.526599,86,5.765825
-96.821887,79,5.838453
-122.096794,59,5.896732
-142.785244,69,5.966279
-269.069457,95,6.067477
-339.899602,104,6.181605
-438.139362,88,6.248293
-369.316653,100,6.316946
-323.708261,104,6.385043
13.783263,87,6.443227
-155.37556,73,6.489244
-247.202966,71,6.537666
-342.520976,93,6.600374
-237.441127,78,6.669118
-161.975237,90,6.765536
-89.896972,61,6.832266
-151.203753,136,6.981066
-458.021287,124,7.11549
-303.751351,114,7.234121
-111.178976,105,7.336732
-131.687312,82,7.412161
-147.745334,65,7.483378
-86.816984,86,7.57565
-112.195271,87,7.67414
-215.081802,91,7.779319
-92.932332,76,7.864604
