#{"t_start": 1782831406.4072042, "env_id": "LunarLander-v3"}
r,l,t
-42.342894,81,0.016993
-334.239738,59,0.050026
-429.319633,85,0.117045
-152.391305,62,0.15042
-146.19688,108,0.234069
-355.356674,117,0.300391
-452.024114,89,0.367404
-105.302763,95,0.433694
-116.679042,69,0.483718
-87.588121,79,0.53909
-286.396373,57,0.572852
-291.374942,117,0.656133
-122.350871,68,0.706158
-465.730262,96,0.772842
-380.091982,86,0.822816
-222.474224,73,0.883698
-474.574575,93,0.9388
-98.215767,63,0.989714
-171.751066,85,1.040496
-241.925963,129,1.134712
-27.887752,84,1.189497
-277.711914,65,1.235696
-474.532964,96,1.304367
-260.394076,105,1.405251
-436.686971,87,1.451447
-486.479063,78,1.519983
-168.097021,92,1.583721
-212.593345,114,1.656272
-497.233242,92,1.722062
-269.88661,73,1.772603
-300.748643,84,1.822836
-217.593727,101,1.889453
-418.763399,72,1.933725
-218.718845,76,2.000455
-168.811143,115,2.072974
-198.487701,83,2.138666
-227.957627,71,2.188722
-386.535165,74,2.239451
-157.633779,70,2.287721
-161.024215,68,2.3357
-131.190678,146,2.437589
-208.974443,95,2.503489
-265.002107,83,2.55716
-100.558725,72,2.606144
-495.478271,77,2.668048
-355.254916,109,2.73943
-424.176004,101,2.817047
-136.236956,93,2.882694
-384.188896,92,2.939462
-393.279485,125,3.034109
-120.608517,87,3.100388
-168.690483,67,3.133713
-286.490372,78,3.200393
-164.618513,110,3.282697
-304.587149,130,3.367491
-260.997966,95,3.434056
-281.560394,113,3.517422
-191.642445,83,3.566684
-93.516336,116,3.650314
-502.153634,98,3.733883
-508.546495,101,3.800322
-427.122487,99,3.876332
-115.539993,57,3.919499
-321.249918,71,3.966965
-192.281435,75,4.017452
-366.573337,69,4.067611
-90.223589,89,4.134105
-264.155496,86,4.199882
-261.233205,63,4.234149
-63.213946,91,4.300399
-340.268621,99,4.381919
-341.748109,75,4.432646
-104.152829,69,4.488763
-103.452333,75,4.533529
-471.869651,93,4.600728
-482.661209,75,4.667328
-549.91342,99,4.733741
-577.624744,77,4.785883
-387.280234,106,4.867159
5.6869,141,4.966008
-138.239886,85,5.017041
-179.652973,59,5.067074
-437.355624,106,5.134212
-316.406055,104,5.21707
-183.885591,97,5.284141
43.398068,80,5.33536
-330.96856,62,5.384067
-348.548969,91,5.451418
-526.452903,85,5.50056
-112.265276,77,5.567047
-377.080237,70,5.617093
-321.40609,100,5.683714
-311.591153,76,5.749816
-343.414209,108,5.829685
-454.280057,95,5.900382
-227.602068,64,5.95538
-555.274834,84,6.016953
-434.421322,109,6.095193
-232.835998,84,6.156311
-306.677923,103,6.219573
-153.420008,112,6.308404
-124.411343,78,6.349447
-307.857504,82,6.416325
-218.30376,74,6.466423
-299.469832,93,6.533556
-74.704318,129,6.63323
-335.795255,70,6.683061
-156.273454,70,6.732947
-685.723541,93,6.808471
-484.20508,106,6.885689
-328.897303,94,6.95171
-298.622391,83,7.012867
-534.451507,149,8.217265
-180.510881,103,8.284283
-130.235068,77,8.348416
-584.987616,113,8.417142
-404.49043,80,8.483879
-386.883527,109,8.550695
-108.566157,131,8.650715
-394.889715,94,8.716504
-342.823704,104,8.784075
-127.953793,69,8.833984
-353.205151,110,8.917377
-397.568775,104,8.999763
-442.151665,102,9.066315
-222.940592,119,9.156261
22.808206,82,9.206593
-473.52641,111,9.285393
-352.458004,113,9.368644
-207.898803,80,9.418884
-115.481062,109,9.568496
-508.994326,111,9.651824
-175.454621,107,9.735131
-154.946935,63,9.782092
-132.136234,131,9.86636
-256.336524,106,9.933084
-191.8575,92,10.00787
-133.813135,64,10.052326
-161.908317,73,10.108248
-278.712972,93,10.16881
-213.655463,107,10.252349
-269.521351,77,10.308457
-326.523216,105,10.382668
-322.424672,76,10.433106
-122.418839,82,10.483109
-368.17202,72,10.543343
-260.136731,66,10.590598
-182.743528,89,10.649692
-102.359866,119,10.737354
-259.323982,90,10.801875
-518.860496,114,10.868069
-280.744018,85,10.934571
-464.785039,120,11.018772
-165.012763,65,11.068124
-416.057333,91,11.136701
-330.929077,87,11.199766
-296.260391,98,11.266027
-543.758875,90,11.335175
-168.447641,88,11.38483
-356.082772,77,11.449458
-242.931036,90,11.516311
-102.54255,62,11.549696
-265.788946,98,11.616414
-141.053781,110,11.699485
-88.135896,61,11.733066
-173.178085,92,11.811882
-643.664897,106,11.883097
-73.962172,76,11.932846
-163.266221,59,11.983018
-394.963394,96,12.049652
-375.081467,110,12.116385
-119.250105,94,12.18346
-464.228744,86,12.249746
-105.560935,60,12.283132
-291.478219,90,12.349695
-93.02991,112,12.438169
-189.093152,85,12.48758
-234.3476,100,12.567234
-197.383282,65,12.614467
-94.640485,64,12.649508
-164.723378,87,12.71682
-282.552519,80,12.768733
-454.039406,88,12.834931
-143.770814,124,12.917395
-279.510624,106,13.000866
-217.061341,93,13.068155
-307.639682,92,13.13342
-121.478078,80,13.185004
-485.422424,111,13.266817
-154.482967,67,13.316333
-188.082975,61,13.349342
-329.61449,69,13.399845
-265.345211,82,13.449361
-121.075718,68,13.499771
-147.777196,74,13.549771
-153.591569,67,13.599746
-151.379797,71,13.649407
-126.176957,70,13.716217
-124.266189,101,13.78553
-451.855977,76,13.835632
-110.342156,82,13.885859
-236.482222,82,13.949672
-160.939177,60,13.999362
10.671502,88,14.049743
-369.808209,71,14.114739
-177.375981,61,14.150154
-104.691892,88,14.219326
-276.984512,112,14.298401
-226.361777,83,14.363889
-238.824147,58,14.405327
-369.598536,79,14.464846
-360.331832,77,14.520382
-108.720402,102,14.593385
-620.454939,97,14.65594
-284.664936,105,14.736657
-99.262571,87,14.800796
-447.448495,104,14.870046
-92.470358,64,14.921735
-327.271563,86,14.969316
-324.279588,89,15.044666
-247.008495,103,15.116772
-231.950037,75,15.170028
-264.87071,110,15.249408
-473.530622,69,15.287561
-479.346629,87,16.46775
-77.423046,108,16.552184
-185.884973,72,16.601923
-196.575817,87,16.649752
-151.102808,80,16.718894
-57.517109,117,16.799363
-360.092324,99,16.866132
-73.889206,77,16.919315
-469.439511,128,17.019622
-76.588268,113,17.083816
-122.427589,74,17.149334
-178.90906,75,17.200128
-218.763073,91,17.271774
-102.740278,59,17.314853
-329.602426,80,17.366863
-222.653848,94,17.435142
-225.175346,68,17.486665
-128.669994,84,17.545432
-414.199673,96,17.614593
-212.013515,67,17.665001
-256.829426,97,17.79144
-97.666144,71,17.872103
-277.618598,108,17.949552
-55.031946,118,18.022378
-219.28283,109,18.099946
-450.007413,112,18.18297
-147.144158,82,18.237188
-536.81967,112,18.323792
-364.83255,94,18.392625
-38.64984,81,18.448696
-139.983682,95,18.516027
-84.742314,81,18.566064
-211.7005,68,18.619124
-219.421837,108,18.684005
-218.977438,106,18.766402
-337.982718,76,18.824367
-164.147126,80,18.883072
-199.263611,86,18.93302
-163.96177,73,18.983022
-175.314386,87,19.049433
-133.302372,64,19.10284
-184.46226,100,19.166116
-559.610696,85,19.234647
-84.595317,82,19.28281
-195.372427,110,19.366049
-377.99099,105,19.432712
-155.275599,102,19.516105
-202.678765,67,19.549382
-276.774731,122,19.649488
-125.624976,107,19.72625
-206.541747,125,19.820047
-396.030833,100,19.895175
-5.757242,112,19.97552
