#{"t_start": 1782809722.0715966, "env_id": "LunarLander-v3"}
r,l,t
-262.470142,116,0.020698
-132.776283,98,0.089599
-121.931735,81,0.148481
-415.339886,101,0.196373
-100.750393,85,0.263123
-286.869031,107,0.345306
-428.421277,99,0.423686
-222.65392,117,0.494239
-526.869398,106,0.545555
-162.592795,75,0.578012
-457.023569,126,0.676989
-193.770666,102,0.739127
-424.40286,110,0.77999
-409.818682,66,0.846849
-124.969671,96,0.915498
-262.950518,74,0.963163
-328.345104,130,1.036455
-398.809616,94,1.096684
-121.06583,60,1.145815
-96.261594,78,1.210905
-317.348849,81,1.262108
-574.842489,84,1.323462
-481.254451,81,1.379764
-104.54441,67,1.41434
-444.941409,122,1.496484
-289.544945,95,1.569219
-159.18484,72,1.624048
-214.294795,74,1.667245
-402.907913,97,1.729649
-296.330908,67,1.767461
-329.582011,76,1.813096
-97.499199,72,1.879596
-109.467963,73,1.929345
-140.506405,94,2.003387
-167.190871,58,2.046016
-71.413005,62,2.096029
-214.334254,60,2.145636
-368.779166,102,2.195663
-127.813606,74,2.268195
-399.209044,109,2.322246
-273.719302,100,2.38963
-111.096309,67,2.431682
10.831056,98,2.49632
-545.368242,81,2.547406
-115.278167,75,2.578107
-99.216242,89,2.63257
-210.828418,79,2.668789
-127.163507,96,2.754119
-485.086402,109,2.811761
-449.795913,99,2.891942
-260.314694,77,2.934736
-495.469551,88,2.997835
-492.161237,83,3.062701
-158.934976,65,3.096316
-428.774537,76,3.165473
-167.985126,126,3.243981
19.941555,77,3.296151
-479.495593,105,3.369379
-406.261491,121,3.446031
-352.921903,77,3.495165
-504.043929,100,3.549643
-525.804255,80,3.59366
-267.486141,79,3.657716
-276.187527,95,3.712669
-179.46297,68,3.745858
-433.13249,89,3.812779
-380.926308,97,3.869527
-276.677752,77,3.924573
-232.57983,110,4.00508
-85.315871,103,4.088671
-262.676944,85,4.129299
-217.795498,115,4.194448
-340.371806,103,4.279896
-203.069206,116,4.34581
-372.498767,96,4.419591
-374.128072,89,4.446909
-43.200711,86,4.529957
-261.316454,65,4.570488
-182.164105,74,4.617121
-102.238568,77,4.676832
-143.343049,85,4.71317
-15.216981,101,4.80106
-515.513569,90,4.86244
-163.862451,125,4.946343
-168.696919,61,4.995349
-365.486976,111,5.053263
-416.009273,100,5.129935
-57.863383,63,5.162508
-189.548299,76,5.212416
-108.884571,65,5.273317
-280.250283,104,5.346478
-440.117927,85,5.39589
-196.749463,124,5.495751
