#{"t_start": 1782811081.9554505, "env_id": "LunarLander-v3"}
r,l,t
-100.514987,108,0.020455
-135.900634,86,0.102938
-91.422852,91,0.17915
-375.886625,109,0.292688
-432.655534,89,0.379652
-404.521813,82,0.454242
-360.329852,111,0.564581
-122.499516,84,0.619678
-417.639665,82,0.671057
-467.404838,98,0.783387
-112.785226,84,0.875215
-317.822015,87,0.97651
-362.352609,109,1.089199
-134.375387,86,1.156878
-341.099595,105,1.235102
-222.35184,122,1.383687
-274.711692,90,1.472598
-454.472602,102,1.586323
-276.314928,94,1.683592
-308.247294,95,1.755747
-215.612457,91,1.821932
-104.839772,80,1.872673
-250.42729,90,1.971537
-130.341543,92,2.057936
-294.821743,75,2.148181
-280.740427,77,2.223273
-143.837465,132,2.321084
-375.783692,90,2.382749
-206.480853,79,2.466904
-225.399676,95,2.561544
-226.680964,108,2.672321
-374.482606,89,2.775256
-216.979895,61,2.842774
-194.824787,56,2.901865
-305.610842,112,2.993283
-104.696828,59,3.03179
-203.764788,89,3.12732
-207.943991,97,3.232416
-188.507698,109,3.339395
-96.582427,63,3.407901
-392.528431,101,3.516745
-52.050596,122,3.649827
-285.968779,84,3.740913
-107.323495,63,3.80748
-407.321039,82,3.862903
-144.40745,75,3.932982
-520.279063,94,4.037727
-247.246952,89,4.133939
-183.326815,91,4.237213
-129.018709,109,4.35429
-185.16761,64,4.427734
-100.882803,73,4.512717
-115.840202,107,4.639268
-216.305235,78,4.712953
-569.929683,121,4.82096
-249.129703,68,4.89913
-590.323535,90,5.004944
-147.738368,88,5.108319
-221.29959,67,5.154577
-477.544262,83,5.221187
-264.750364,74,5.284538
-337.945696,76,5.342021
-225.57415,80,5.440331
-262.037632,94,5.553919
-200.764426,73,5.608478
-157.967205,64,5.654537
-274.936733,100,5.756964
-410.74157,96,5.861314
-145.664151,121,5.987752
-471.127141,98,6.096017
-43.167134,81,6.181476
-301.39548,106,6.263549
-331.620037,72,6.343896
-93.701218,100,6.452668
-113.974725,80,6.537661
-450.449004,97,6.647849
-254.055725,78,6.73638
-109.420066,92,6.838508
-89.689996,76,6.922363
-413.826386,84,7.017361
-324.487765,73,7.096673
-264.874698,94,7.187706
-128.345295,69,7.279297
-130.181201,74,7.359886
-305.546364,104,7.433759
-339.863729,75,7.515621
-490.914166,79,7.601832
-270.509421,90,7.687648
-235.995059,77,7.783263
-137.293506,103,7.901577
-447.825024,77,7.987627
-109.328096,76,8.072611
-262.572816,98,8.183762
-195.445,71,8.269988
-235.573633,125,8.421088
-240.61746,84,8.517872
-405.851977,98,8.621017
-359.783265,101,8.734994
-229.16593,87,8.827387
-105.230728,114,8.929797
-186.853785,100,9.037781
-246.558208,82,9.128034
-154.999799,136,9.293387
-373.40262,92,9.386196
-197.819342,91,9.491337
-388.721572,101,9.584912
-347.886457,80,9.668011
