#{"t_start": 1782826054.0415137, "env_id": "LunarLander-v3"}
r,l,t
-203.711788,75,0.017589
-263.993312,65,0.048366
-470.98246,86,0.105918
-515.625634,108,0.172512
-501.453629,76,0.233645
-233.581932,93,0.292254
-305.221743,71,0.348308
-168.994689,82,0.391865
-402.714687,66,0.451363
-182.42102,76,0.491528
-218.381351,82,0.557812
-172.92061,72,0.608444
-415.611647,95,0.672673
-134.318146,70,0.722745
-327.467182,94,0.772646
-389.077288,75,0.822561
-245.804299,82,0.889196
-144.101609,71,0.938544
-235.579688,95,0.989196
-139.591445,89,1.056203
-69.841757,69,1.105902
-538.355679,98,1.172566
-346.437363,88,1.222559
-28.477539,70,1.27282
-180.222649,75,1.34629
-488.328948,97,1.405856
-63.228067,93,1.484079
-356.345485,95,1.548326
-481.263531,99,1.615272
-281.274955,73,1.664181
-377.928502,91,1.722822
-98.53388,71,1.774481
-401.340596,68,1.806688
-127.137311,114,1.895941
34.548468,85,1.955425
-299.23363,84,2.012569
-517.832863,86,2.069885
-76.1953,66,2.116223
-428.111776,96,2.181963
-470.952766,88,2.244399
-90.698115,71,2.289972
-157.183976,67,2.342416
-96.523555,69,2.391309
-485.058564,91,2.455776
-82.757573,59,2.489382
-398.188173,106,2.571179
-203.582564,128,2.660499
-72.243445,87,2.722465
-548.609424,110,2.804336
-114.937586,76,2.858135
-470.415324,108,2.924281
-167.832958,59,2.974965
-530.024503,79,3.025094
-90.078955,69,3.07448
-195.371748,73,3.140177
-122.52849,104,3.213826
-142.245717,102,3.285661
-209.064359,117,3.367863
-32.676592,89,3.425422
-260.181515,93,3.492229
-93.860534,60,3.542522
-522.442844,114,3.612713
-204.680575,110,3.696105
-277.150673,106,3.776671
-100.644366,68,3.824785
-277.18434,105,3.896165
-130.365572,61,3.942399
-206.690117,64,3.97962
-340.938255,89,4.050682
-357.634703,98,4.112961
-479.258615,105,4.196547
-447.659808,91,4.263038
-211.362238,68,4.311225
-196.764204,80,4.363081
-358.362591,90,4.429156
-268.044132,94,4.496097
-2.772825,92,4.564207
-245.805259,91,4.626684
-139.939662,68,4.674757
-101.029458,65,4.72278
-290.156318,68,4.771359
-87.954048,65,4.816797
-317.779799,99,4.887791
-184.864934,70,4.937823
-153.087233,82,4.999032
-517.809879,112,5.079539
-147.818666,72,5.131155
-232.254873,71,5.179698
-373.685091,72,5.231915
-230.216883,97,5.302889
-237.237249,106,5.372767
-659.325462,135,5.47898
-286.771402,116,5.556181
-286.745372,116,5.644446
-141.32997,115,5.722533
-166.730524,76,5.779742
-238.219877,120,5.867974
-226.604285,85,5.928073
-109.580085,65,5.973705
-432.509382,74,6.027349
-280.277103,104,6.100854
-175.582183,87,6.163299
-160.167901,79,6.220308
-103.711889,71,6.273932
-291.621766,59,6.305999
-367.213089,95,6.373333
-93.86507,69,6.435922
-437.177762,103,6.50648
-279.185874,63,6.552617
-233.912698,111,6.632033
-141.716957,65,6.677817
-433.707169,96,6.746407
-579.721905,100,6.820949
-111.042927,94,6.888918
-301.838868,61,6.931081
-126.205299,102,7.003275
-278.456331,68,7.922655
-201.375765,99,7.989278
-170.308244,130,8.089851
-528.759662,125,8.189927
-304.410721,75,8.243454
-420.557803,103,8.315137
-349.53875,70,8.366476
-146.839676,93,8.431947
-270.33942,103,8.504969
-447.642802,102,8.578045
-145.138208,71,8.623802
-91.620931,68,8.67799
-87.842741,110,8.758963
-313.981329,108,8.83538
-20.066037,74,8.877378
-370.470466,99,8.956236
-191.299956,74,9.013066
-152.048895,63,9.056234
-245.64943,79,9.105964
-307.787495,73,9.172923
-469.312454,112,9.278306
-109.810107,69,9.322638
-543.151584,97,9.389337
-380.884801,92,9.4648
-218.132455,146,9.568165
-76.277318,63,9.613937
-495.645198,114,9.693035
-111.68525,98,9.763597
-117.562981,129,9.854441
-209.087065,70,9.906297
-378.153765,102,9.976884
-341.583196,94,10.045444
-16.275966,105,10.122013
-167.617387,122,10.207556
-476.755627,97,10.272689
-202.543838,67,10.322633
-95.728556,64,10.35627
-398.003435,110,10.449489
-593.191766,111,10.528376
-85.516036,73,10.572638
-251.582815,97,10.648605
-455.858832,91,10.712543
-361.295151,103,10.781552
-240.53609,78,10.840016
-62.713445,74,10.893509
-184.820633,69,10.941806
-186.262353,65,10.988482
-497.954424,105,11.064457
-507.582179,89,11.128641
-444.388999,110,11.204787
-489.543472,84,11.258915
-490.815718,88,11.325462
-95.763834,63,11.375127
-307.931338,63,11.425599
-63.117712,62,11.457859
-355.596179,93,11.52563
-101.625067,65,11.582528
-166.530908,106,11.657942
-76.850674,125,11.749324
-276.033538,87,11.811945
-89.590704,66,11.856987
-123.332532,97,11.928999
-263.467703,66,11.975664
-483.05191,74,12.025313
-590.954505,106,12.09117
-543.062276,111,12.184505
-325.092625,60,12.226838
-601.114049,86,12.283102
-221.442123,103,12.36061
-422.679085,101,12.433479
-233.026201,84,12.492988
-518.21083,73,12.544134
-329.887099,97,12.606006
-268.814355,90,12.672677
-288.45345,123,12.763609
-205.916028,94,12.829823
-237.690005,116,12.912248
-486.92673,78,12.966866
-200.60096,121,13.053517
-268.561674,112,13.122695
-317.513761,86,13.189339
-325.286608,110,13.271318
-325.201778,91,13.335973
-75.476798,63,13.381183
-255.241827,79,13.437981
-362.196659,84,13.497462
-327.607554,92,13.562993
-195.333623,69,13.608004
-575.836101,93,13.679695
-187.180919,112,13.761963
-107.553486,64,13.806368
-90.140316,65,13.855911
-518.071817,71,13.905469
-159.225421,133,13.989384
-359.210861,100,14.071148
-372.903155,74,14.12275
-241.429137,79,14.17314
