#{"t_start": 1782804843.3873599, "env_id": "LunarLander-v3"}
r,l,t
-69.648057,60,0.006962
-250.21697,82,0.042203
-207.286716,125,0.11022
-171.233852,77,0.142261
-288.030157,89,0.192819
-293.46369,78,0.245449
-92.059143,84,0.310149
-495.756551,96,0.363386
-364.563838,106,0.443525
-138.615895,64,0.486753
-395.577478,89,0.553904
-226.182675,72,0.590415
-473.604862,89,0.628733
-339.391389,104,0.676293
-83.908602,69,0.728285
-328.201845,95,0.780468
-497.628695,111,0.871748
-111.555375,65,0.907232
-331.481682,88,0.966343
-560.917661,83,1.012573
-89.634591,72,1.059488
-320.955598,76,1.126807
-194.625716,97,1.174356
-101.674967,97,1.228241
-152.454467,106,1.325186
-111.65524,80,1.393645
-90.502966,63,1.437559
-132.821711,75,1.460204
-434.885159,111,1.545231
-166.685926,114,1.611862
-566.593283,110,1.681415
-334.937438,111,1.76953
-96.390322,60,1.803191
-298.39444,103,1.861704
-136.227392,74,1.927953
-62.465009,69,1.963065
-311.392281,90,2.032461
-63.055527,59,2.047143
-64.874351,88,2.094147
-523.359907,77,2.144806
-499.252475,97,2.206101
-263.25953,94,2.262716
-326.931525,79,2.306291
-236.64759,118,2.363937
-207.440507,72,2.426302
-27.122191,106,2.47695
-172.647265,89,2.548046
-400.842161,92,2.615216
-298.637114,87,2.642976
-134.501528,81,2.722816
-271.147006,93,2.760273
-53.208927,73,2.834003
-459.559399,84,2.88379
-112.934075,101,2.943874
-132.850909,64,2.973653
-130.60467,106,3.030351
-138.489454,72,3.087148
31.756579,129,3.160131
-169.270827,85,3.236805
-230.154547,92,3.276834
-456.745,69,3.336938
-100.296812,150,3.430701
-230.267782,130,3.53065
-425.991243,108,3.585224
-428.342194,107,3.660078
-83.307486,62,3.699857
-426.770979,93,3.760287
-113.698516,58,3.811967
-620.047954,97,3.876351
-192.558424,103,3.941709
-146.797109,108,3.993562
-191.471131,107,4.079372
-112.325482,71,4.110415
-333.963369,75,4.163856
-262.088282,82,4.232514
-532.665263,98,4.28205
