#{"t_start": 1782755385.5880058, "env_id": "LunarLander-v3"}
r,l,t
-35.398113,81,0.011995
-328.917645,59,0.036278
-422.253162,85,0.092296
-146.675744,62,0.131705
-135.636095,108,0.202657
-340.118315,117,0.2839
-441.752932,89,0.34437
-95.823524,95,0.406336
-111.012146,69,0.451608
-80.585018,79,0.50094
-281.299597,57,0.541264
-278.258272,117,0.620473
-116.707224,68,0.664436
-454.653569,96,0.727496
-372.108835,86,0.781781
-216.560921,73,0.832158
-464.713487,93,0.891225
-93.129794,63,0.932648
-164.066283,85,0.988497
-225.556102,129,1.075888
-21.004208,84,1.156807
-271.597416,65,1.226312
-463.465783,96,1.310657
-246.587379,105,1.419971
-399.146822,89,1.516001
-450.746428,103,1.598207
-25.143977,79,1.662247
-158.810308,82,1.726017
-221.400884,87,1.822238
-209.432793,77,1.90643
-198.402953,97,2.012771
-223.121714,102,2.12394
-224.438193,86,2.201962
-119.089616,76,2.284113
-169.244325,105,2.362266
-394.768782,112,2.466557
-278.046946,64,2.535866
-222.070761,81,2.62576
-429.928847,108,2.743151
-104.93753,85,2.796657
-353.560393,100,2.875418
-302.550773,97,2.979647
-191.18786,135,3.091872
-535.410901,86,3.141388
-288.872871,93,3.204275
-82.047341,61,3.246039
-328.193475,62,3.285414
-89.689779,81,3.354624
-205.594048,73,3.436125
-491.659252,104,3.528198
-85.530219,99,3.611391
-317.286067,110,3.725934
-434.860089,109,3.821254
-297.802497,77,3.874102
-232.804977,74,3.940397
-83.67667,77,4.024364
-265.484847,92,4.123965
-215.450722,64,4.165792
-158.681004,76,4.217294
-72.673723,55,4.254128
-304.049183,84,4.307662
-113.522287,67,4.351566
-413.490698,101,4.418036
-165.035249,112,4.532845
-141.628963,60,4.60037
-211.311836,112,4.725758
-112.821378,87,4.789074
-182.63134,71,4.835442
-207.562025,121,4.91354
-98.518276,63,4.95632
-92.9584,74,4.998654
-102.009757,67,5.043122
-209.498041,114,5.115182
-327.650815,138,5.205564
-208.901835,127,5.289643
-352.057116,85,5.344994
-214.921587,62,5.3855
-267.082908,89,5.488376
-366.076078,113,5.590833
-9.300836,97,5.670172
-383.205476,87,5.731056
-351.90542,123,5.810452
-491.532346,116,5.886812
-201.746537,84,5.939532
-450.541248,108,6.00778
-391.075271,90,6.093856
-201.084098,86,6.182206
-350.442843,97,6.29272
-211.517857,118,6.413911
-180.435034,95,6.479785
-283.973884,81,6.52826
-392.555557,106,6.601272
-499.272118,75,6.674192
-256.696941,119,6.755301
-516.314648,100,6.830839
-300.775602,93,6.908055
-281.688469,100,6.973077
-373.541013,109,7.042498
-503.787526,78,7.094251
-124.592808,94,7.203528
-288.920401,122,7.314964
-235.917842,94,7.402149
-191.624493,108,7.474576
-342.146134,84,7.571221
-633.915591,110,7.695882
-339.306899,94,7.798554
-130.684629,138,7.888721
-421.761655,74,7.936903
-145.034528,88,7.995412
-303.331335,124,8.902133
-349.102612,92,8.968287
-370.743143,108,9.043941
-133.713751,121,9.167632
-287.408965,96,9.267635
-341.759996,75,9.359243
-297.702297,89,9.468441
-54.889816,75,9.55017
-172.262181,83,9.647204
-367.04515,91,9.735254
-441.330403,122,9.876008
-477.806064,108,9.944475
-225.067473,82,10.001665
-108.223483,72,10.08676
-163.991901,67,10.164754
-78.381162,129,10.306001
-142.43181,81,10.362157
-114.849843,94,10.424729
-81.446826,58,10.465878
-505.211964,104,10.534285
-232.38153,130,10.615805
-128.148608,70,10.663646
-253.61545,87,10.717898
-100.877244,119,10.793823
-453.641093,79,10.84409
-401.525738,78,10.893834
-341.734608,98,10.959458
-385.907872,82,11.011334
-62.335619,62,11.052588
-424.543987,96,11.141515
-136.122571,76,11.22644
-94.833932,77,11.312705
-565.209191,91,11.390763
-154.997081,104,11.498323
-320.15425,88,11.597322
-109.053232,91,11.700642
-68.642954,64,11.762647
-119.276697,80,11.852147
-250.683113,104,11.949921
-0.960446,72,11.998941
-323.023087,100,12.080284
-290.883126,88,12.184598
-260.67706,82,12.26967
-220.107243,80,12.322133
-68.949756,130,12.404253
-535.419145,95,12.466406
-362.999047,101,12.534125
-264.690612,76,12.585992
-140.007437,67,12.629251
-114.800524,78,12.702111
-226.748976,88,12.801988
-278.974017,60,12.869201
-218.981923,64,12.936011
-348.697402,79,12.991583
-524.094969,118,13.108888
-335.63022,125,13.197565
-345.009417,87,13.253828
-263.351528,102,13.320984
-87.211109,73,13.366971
10.582514,124,13.445402
-305.458763,114,13.519471
-438.103747,97,13.591613
-92.167271,59,13.656176
-108.237856,99,13.770215
-388.114739,91,13.857806
-514.485808,102,13.940719
-424.708305,75,14.012647
-406.482113,94,14.110738
-342.872615,83,14.195806
-134.425586,88,14.272776
-268.47187,102,14.369708
-427.056204,100,14.475797
-198.393246,100,14.581706
-383.821196,93,14.655116
-378.396232,101,14.735208
-106.146556,67,14.781105
-131.953032,66,14.861711
-210.840248,90,14.924816
-525.620478,139,15.090077
-65.667048,97,15.165642
-108.578373,63,15.21952
-209.762927,66,15.293426
-132.395059,67,15.370521
-251.102363,88,15.442186
-243.657417,93,15.505238
-221.922596,107,15.573265
-291.238133,88,15.632591
-260.731936,82,15.687046
-396.301012,94,15.783819
-440.423612,101,15.888653
12.087404,98,15.98204
-450.118829,104,16.06687
-188.032634,84,16.139763
-415.47829,96,16.227821
-139.762184,99,16.339796
-88.545944,64,16.409652
-402.263287,86,16.502944
-253.451032,89,16.562196
-129.046523,72,16.610059
-149.407621,76,16.666559
-299.708064,93,16.730326
-293.938451,91,16.790097
-225.4584,72,16.838539
-114.233519,97,16.937007
-220.970474,71,17.014975
-244.12764,98,17.130585
-436.776899,71,17.208694
-196.346083,65,17.274653
-166.662887,65,17.316021
